LipidMaps	KEGG
LMST01010167	C15816
LMST01031015	C05440
LMST01080005	C08913
LMST02030165	C08837
LMST01031019	C15776
LMST01130026	C16962
LMST04010106	C13154
LMST02020053	C12525
LMST02020054	C14497
LMST02030123	C12656
LMST01080034	C08890
LMST01080045	C08918
LMST01010015	C00599
LMST02010001	C00951
LMST01020003	C14641
LMST02020023	C07635
LMST02010033	C05299
LMST02010035	C05302
LMST02020076	C08158
LMST02030120	C08173
LMST02010041	C05300
LMST02030172	C06390
LMST01010198	C08834
LMST02030122	C08186
LMST01130032	C16931
LMST04030107	C17332
LMST02020070	C05294
LMST02020145	C05295
LMST01010176	C05108
LMST01010184	C16500
LMST01010202	C05103
LMST01100009	C08920
LMST02020084	C02197
LMST01010179	C16493
LMST01080009	C08914
LMST02030227	C05481
LMST02030228	C05482
LMST01120034	C08854
LMST01160017	C08841
LMST01120046	C08855
LMST01120051	C08849
LMST01120054	C08883
LMST01010094	C08825
LMST01040133	C08839
LMST01010089	C01189
LMST03010028	C08211
LMST05050066	D01221
LMST04010066	C17647
LMST04010064	C17649
LMST04010004	C17658
LMST04010025	C15515
LMST04030019	C16890
LMST02010040	C13077
LMST05030009	C15557
LMST05040005	C05465
LMST05040010	C15516
LMST05040015	C16868
LMST03020257	C12919
LMPR0103540004	C09570
LMPR0102090026	C09898
LMPR0104010020	C08588
LMPR0106250001	C08965
LMPR0102090024	C09885
LMPR01070166	C15914
LMPR01040119	C09189
LMPR01020138	C01512
LMPR0102090037	C11412
LMPR0106080011	C08946
LMPR0106080015	C08944
LMPR0102090047	C12302
LMPR0102010008	C09849
LMPR0104170013	C11856
LMPR0102120019	C09906
LMPR0102070004	C06070
LMPR03080011	C01191
LMPR0106150009	C08932
LMPR0106150003	C08964
LMPR01090051	C11061
LMPR03080014	C01246
LMPR01070088	C08613
LMPR0106010044	C16144
LMPR0106010041	C16146
LMPR01070403	C15858
LMPR0106010065	C16147
LMPR01070444	C16274
LMPR01070457	C16275
LMPR01070477	C16270
LMPR01070483	C16271
LMPR01070492	C16278
LMPR01070490	C16277
LMPR01070514	C15860
LMPR01070535	C15940
LMPR01070538	C15861
LMPR01070540	C15941
LMPR01070543	C15935
LMPR01070550	C15937
LMPR01070583	C15942
LMPR01070622	C16280
LMPR0102120016	C09859
LMPR0102070026	C11657
LMPR0104170026	C11869
LMPR0104170029	C11905
LMPR0104540002	C07602
LMPR01090007	C05919
LMPR0103650003	C12142
LMPR01090060	C16683
LMPR01070273	C08599
LMPR0102090009	C02485
LMPR0106010003	C03428
LMPR0102090029	C09908
LMPR02020057	C14155
LMPR0103190014	C09723
LMPR0103010012	C03461
LMPR0102070008	C09776
LMPR0102070011	C09785
LMPR0102070022	C11651
LMPR0106110001	C08771
LMPR01070114	C15870
LMPR01070154	C15885
LMPR01070120	C15898
LMPR0102090028	C09902
LMPR0102070033	C11668
LMPR0104390001	C07394
LMPR0103190003	C09538
LMPR0104330001	C09155
LMPR01070275	C08602
LMPR01070104	C16284
LMPR03030004	C03543
LMPR0103010009	C16689
LMPR0103010013	C03220
LMPR0106150031	C08947
LMPR01090055	C16680
LMPR0104170011	C11854
LMPR0102090005	C00964
LMPR0102120007	C02759
LMPR0102090020	C18025
LMPR0102090031	C11396
LMPR0102090042	C11937
LMPR01070113	C15892
LMPR01070115	C15874
LMPR01070295	C15857
LMPR0104170036	C06096
LMPR02010037	C02185
LMPR0106140005	C08618
LMPR0102120005	C02344
LMPR0102070019	C11646
LMPR0102070021	C11650
LMPR0104170018	C11861
LMPR01090006	C05918
LMPR01070253	C03427
LMPR0106170001	C08615
LMPR03030010	C04507
LMPR03020006	C00348
LMPR0104170025	C11868
LMPR0104170020	C11863
LMPR0102120011	C06304
LMPR0102090021	C09875
LMPR0103090003	C09388
LMPR0104030001	C06089
LMPR01070277	C08605
LMPR0103590002	C09688
LMPR01070134	C16282
LMPR01070149	C15895
LMPR0104030008	C18223
LMPR0103010023	C03115
LMPR01070299	C05414
LMPR0104130002	C06090
LMPR0103010001	C01126
LMPR0106200009	C16973
LMPR03020001	C17556
LMPR01070269	C08591
LMPR0103090002	C07609
LMPR0102090015	C07271
LMPR0102090032	C11397
LMPR0102070017	C09804
LMPR0103090007	C09672
LMPR0104170004	C02035
LMPR0104050004	C11889
LMPR0104080004	C18228
LMPR01070300	C08596
LMPR0106150010	C08950
LMPR0103690007	C09631
LMPR0102120049	C01868
LMPR02030031	C01303
LMPR0102070013	C09791
LMPR04000001	C06310
LMPR0102090025	C09893
LMPR0102090044	C11952
LMPR0102070016	C09802
LMPR0103180002	C09747
LMPR01090022	C15493
LMPR01070016	C15968
LMPR02020056	C14156
LMPR0103050004	C13455
LMPR0102090063	C02904
LMPR02010044	C05313
LMPR02010004	C01967
LMPR0103070001	C17065
LMPR0103540001	C09529
LMPR0103330002	C07667
LMPR0102010007	C09848
LMPR0102090027	C09900
LMPR0102090038	C11413
LMPR0102090039	C11415
LMPR0106100002	C11047
LMPR01070136	C15878
LMPR0102090064	C00848
LMPR0106110002	C08778
LMPR0102120024	C11940
LMPR0104290001	C01414
LMPR0104170016	C11859
LMPR0104010003	C11356
LMPR01090003	C02110
LMPR0102060001	C09842
LMPR01090021	D00348
LMPR0106150006	C08952
LMPR0104170039	C02034
LMPR0102010016	C01500
LMPR03070004	C00381
LMPR0104030002	C11901
LMPR0102090006	C01123
LMPR0102120013	C06307
LMPR0103410002	C09633
LMPR0103010004	C09694
LMPR01070123	C16340
LMPR01070140	C15888
LMPR01070165	C15911
LMPR01070087	C15867
LMPR03010007	C01968
LMPR0104390003	C11895
LMPR02010043	C05200
LMPR0102010013	C11388
LMPR0102090034	C11399
LMPR0102090040	C11416
LMPR0102120014	C09837
LMPR0104050001	C06087
LMPR0102070015	C09801
LMPR0102120009	C03190
LMPR0102070023	C11652
LMPR0102070010	C09783
LMPR0106150015	C08616
LMPR01090017	C16681
LMPR01070293	C14044
LMPR0104080006	C18225
LMPR0104170033	C04070
LMPR03030006	C04216
LMPR02030029	C02785
LMPR0102090058	C11402
LMPR0103410006	C09675
LMPR01090001	C00473
LMPR0102090010	C02576
LMPR0102090030	C11395
LMPR0102090045	C12300
LMPR0102070035	C11670
LMPR0104050003	C11880
LMPR01070266	C08586
LMPR01070086	C05431
LMPR01070139	C15887
LMPR01070096	C15967
LMPR0106080001	C08621
LMPR0102110002	C09904
LMPR0103050008	C11060
LMPR0104050012	C12077
LMPR0102120020	C11338
LMPR0103330001	C06394
LMPR01010001	C00235
LMPR0102010011	C11384
LMPR0102120023	C11939
LMPR0102120008	C03037
LMPR0102010009	C09863
LMPR0104170005	C03579
LMPR0104170021	C11864
LMPR0104170030	C12308
LMPR0104390006	C11898
LMPR01070282	C08614
LMPR01070262	C08579
LMPR0102120030	C14515
LMPR0103110002	C16829
LMPR0104010015	C02982
LMPR0102090062	C06075
LMPR0103690006	C09630
LMPR0102120021	C11382
LMPR0102090004	C00843
LMPR0102090019	C09844
LMPR04000002	C06309
LMPR02010002	C17568
LMPR0102070012	C09788
LMPR0102070028	C11659
LMPR0104170024	C11867
LMPR01070258	C05433
LMPR0102120003	C01765
LMPR01070276	C08603
LMPR03030008	C04574
LMPR0102060022	C09894
LMPR02030030	C03313
LMPR0102090061	C09854
LMPR0102120045	C03037
LMPR0102090003	C00553
LMPR0102010005	C06074
LMPR0102010006	C09847
LMPR0104190002	C11893
LMPR0103050010	C15514
LMPR0104010004	C01607
LMPR0104390004	C11896
LMPR0102090001	C00400
LMPR0102120006	C02462
LMPR0102070001	C01433
LMPR01070138	C15886
LMPR03030005	C01230
LMPR0102090059	C11414
LMPR0103800003	C09720
LMPR01010009	C11811
LMPR03090023	C00621
LMPR0106150011	C03930
LMPR03030011	C18321
LMPR0102010021	C09873
LMPR0104010002	C01389
LMPR0104170022	C11865
LMPR0104190001	C09140
LMPR0102090016	C07276
LMPR0102010010	C09871
LMPR0104030003	C11902
LMPR01070151	C15905
LMPR0103590001	C09687
LMPR0104080007	C18211
LMPR0104010016	C02117
LMPR0104080002	C18015
LMPR0102090033	C11398
LMPR01090054	C16679
LMPR0102010012	C11386
LMPR0102120001	C00809
LMPR0103410001	C09561
LMPR0104170015	C11858
LMPR01090019	C00777
LMPR01070091	C16291
LMPR01070183	C15919
LMPR01070030	C08601
LMPR0104050007	C11879
LMPR0106150014	C02283
LMPR0104080009	C18222
LMPR0102060023	C02213
LMPR03080015	C00110
LMPR0102090035	C11400
LMPR0102010014	C12295
LMPR0106150037	C08972
LMPR02010001	C11378
LMPR0102090018	C09841
LMPR0102090022	C09877
LMPR0102070034	C11669
LMPR0104170001	C00859
LMPR0104170012	C11855
LMPR0104540003	C07603
LMPR0104080001	C11877
LMPR01070257	C05432
LMPR01070135	C15877
LMPR01070119	C15900
LMPR01070290	C08606
LMPR02020054	C14153
LMPR01070294	C14045
LMPR0104050008	C11883
LMPR0103330006	C09938
LMPR0104330004	C09143
LMPR0102090060	C03962
LMPR01090052	C03455
LMPR0102090065	C03092
LMPR0103110001	C09684
LMPR0102120015	C09839
LMPR01070097	C15966
LMPR01070256	C05430
LMPR01070163	C15908
LMPR01070118	C15859
LMPR0102060004	C16780
LMPR0104030004	C09076
LMPR0103270003	C02004
LMPR0104010017	C05427
LMPR02010045	C13425
LMPR0103180001	C01860
LMPR0102070031	C11666
LMPR0104010001	C00353
LMPR01090002	C00376
LMPR0102070032	C11667
LMPR0103420001	C09523
LMPR0103330003	C09625
LMPR0104170017	C11860
LMPR0104390002	C11894
LMPR01090005	C00899
LMPR01070263	C08580
LMPR0106130001	C08628
LMPR0106100001	C08748
LMPR0106210001	C06083
LMPR01070164	C15910
LMPR01070209	C08608
LMPR0104030007	C18224
LMPR02010036	C03226
LMPR0103050005	C15971
LMPR0102070037	C09777
LMPR0102070005	C06071
LMPR0103060001	C09621
LMPR0104170002	C01699
LMPR0104170010	C11853
LMPR0102090002	C00521
LMPR0103090004	C09403
LMPR01070261	C06098
LMPR0103550001	C09628
LMPR03020005	C16157
LMPR0102120042	C02952
LMPR0103250002	C09627
LMPR0103420002	C09291
LMPR0106010010	C01054
LMPR02020066	C14151
LMPR0106180006	C08636
LMPR01070254	C05413
LMPR0102010001	C00341
LMPR0102090041	C11924
LMPR0102070027	C11658
LMPR0103190002	C02771
LMPR0104170008	C06095
LMPR0104390005	C11897
LMPR01070162	C15907
LMPR01070182	C16347
LMPR0104470001	C09057
LMPR0103640001	C09622
LMPR01070291	C13431
LMPR0102060005	C16781
LMPR01070150	C15902
LMPR01070043	C08601
LMPR0102090046	C12301
LMPR0103410003	C09499
LMPR01070137	C15879
LMPR01070268	C08590
LMPR0103480003	C09682
LMPR0103620002	C09701
LMPR01070297	C06734
LMPR0103090013	C09290
LMPR0104170040	C06093
LMPR01090026	C16678
LMPR0102070002	C01852
LMPR0102070024	C11653
LMPR0103120002	C09691
LMPR02010005	C17569
LMPR0103010005	C09704
LMPR0102090008	C02452
LMPR0102090017	C09840
LMPR0104170023	C11866
LMPR0106010002	C00751
LMPR01070284	C13433
LMPR0104010008	C05427
LMPR0103800002	C09719
LMPR0104170014	C11857
LMPR02010042	C05802
LMPR0103190004	C09545
LMPR0102070009	C09782
LMPR0102070014	C09792
LMPR01010008	C00129
LMPR0102090014	C06575
LMPR0102090043	C11951
LMPR0102070006	C09771
LMPR01070271	C08594
LMPR0103330004	C09680
LMPR01070122	C15881
LMPR0103060004	C16814
LMPR01070298	C06733
LMPR0102120043	C02108
LMPR0106180007	C08988
LMPR01090047	C15492
LMPR03020008	C02970
LMPR01070280	C08610
LMPR0106090002	C08624
LMPR0103060003	C09668
LMPR0103050003	C02293
LMPR0103190013	C09289
LMPR0103410007	C09676
LMPR0102120048	C03448
LMPR0103050011	C15970
LMPR04000003	C08627
LMPR0103120001	C09629
LMPR0104170007	C06094
LMPR0104170019	C11862
LMPR0104050005	C12078
LMPR0105050001	C09145
LMPR0102010002	C02569
LMPR0103010003	C06111
LMPR0102120004	C01766
LMPR01070132	C16145
LMPR0104050006	C11882
LMPR0104160002	C11890
LMPR02020055	C14154
LMPR0102090054	C18027
LMPR02030028	C02059
LMPR03030007	C04145
LMPR02020001	C02477
LMPR01090025	C16677
LMPR0103010002	C00448
LMPR0102070020	C11648
LMPR0102070036	C11671
LMPR01070259	C05434
LMPR01070226	C04146
LMPR0102120031	C09859
LMPR0103060013	C16775
LMPR03030009	C04509
LMPR0103010010	C16826
LMPR0104080010	C09118
LMPR0106150012	C02943
LMPR01070267	C08587
LMPR0102010015	C12298
LMPR0102010003	C01499
LMPR0102090007	C01767
LMPR0102020001	C04435
LMPR0102090023	C09884
LMPR0102090036	C11401
LMPR0102120025	C11941
LMPR01070060	C08592
LMPR01070121	C15903
LMPR01070048	C08585
LMPR0103860001	C09740
LMPR0104010009	C09094
LMPR0102010017	C18052
LMPR0104350003	C18229
LMPR0104050009	C11886
LMPR0103050009	C02533
LMPR03020007	C02970
LMPR01070001	C02094
LMPR0104170027	C11870
LMPR0106130002	C08630
LMPR0102090013	C06099
LMPR01070255	C05421
LMPR01090009	C16682
LMPR01070206	C08607
LMPR01070185	C15933
LMPR0104080003	C18016
LMPR0104120001	C18226
LMPR0102090056	C01951
LMPR0104120002	C09171
LMPR0105010014	C04217
LMPR01070706	C08609
LMPR0102070056	C09780
LMPR0102010030	C17621
LMPR0102010029	C17622
LMPR0102070057	C09786
LMPR0102070058	C09781
LMPR0102070060	C16965
LMPR0102120022	C11938
LMPR0102070025	C11656
LMPR0102070030	C11663
LMPR0103060002	C09750
LMPR0104050002	C11878
LMPR01070264	C08583
LMPR01090013	C02588
LMPR01070153	C15884
LMPR01070098	C15965
LMPR0104010010	C13273
LMPR01070260	C05435
LMPR0102070007	C09773
LMPR0103090039	C09402
LMPR0102120012	C06306
LMPR0102070029	C11662
LMPR0103190001	C02206
LMPR0104170028	C11871
LMPR0104540004	C07604
LMPR01070274	C08601
LMPR0104330002	C05151
LMPR0102060019	C18051
LMPR0103330005	C16028
LMPR0104080008	C18221
LMPR0106140004	C08619
LMPR02020065	C02483
LMPR01070897	C15981
LMPR01070124	C15943
LMPR01070103	C15928
LMPR01070011	C05433
LMPR0106180014	C16939
LMPR0106150004	C17148
LMPR01070576	C16279
LMPR0104540001	C07601
LMPR01071054	C08589
LMPR0104030010	C09183
LMPR0102070018	C11645
LMPR01070265	C08584
LMPR01070281	C08611
LMPR0106150070	C08931
LMSL01010001	C11521
LMSL01010002	C00043
LMPK15050006	C10342
LMPK15050007	C10373
LMPK15050009	C10399
LMPK04000034	C11993
LMPK04000004	C01457
LMPK13120001	C07578
LMPK09000036	C15689
LMPK12120181	C08724
LMPK13040008	C10343
LMPK12050013	C10216
LMPK13040018	C10402
LMPK13040023	C17810
LMPK13040027	C17670
LMPK13040028	C17045
LMPK12140333	C09830
LMPK12112009	C17555
LMPK12050096	C16195
LMPK12050014	C10509
LMPK12110194	C01460
LMPK12010372	C12140
LMPK12050005	C10524
LMPK12050166	C09126
LMPK12111081	C10025
LMPK12140451	C09755
LMPK12140236	C09793
LMPK12110207	C10181
LMPK12112094	C12667
LMPK12110338	C01714
LMPK12010016	C12137
LMPK12110213	C12628
LMPK12110470	C10114
LMPK12110814	C10039
LMPK12140235	C09789
LMPK12112098	C05625
LMPK12010349	C12139
LMPK12140359	C09805
LMPK12110469	C01821
LMPK12111725	C12249
LMPK12140717	C08717
LMPK12140720	C00974
LMPK12140721	C01617
LMPK12113405	C02906
LMPK12010452	C08620
LMPK12140050	C09318
LMPK12010139	C12095
LMPK12010283	C16312
LMPK13120004	C06972
LMPK12010015	C08725
LMPK12112729	C04443
LMPK12010128	C12646
LMPK12112111	C10175
LMPK12140277	C09832
LMPK12010099	C08612
LMPK12140378	C16422
LMPK12070033	C10538
LMPK14000002	C01895
LMPK14000006	C06854
LMPK04000005	C01754
LMPK12110990	C12629
LMPK12010052	C08723
LMPK12020267	C09636
LMPK12050415	C10465
LMPK12060070	C10525
LMPK12110685	C04900
LMPK13010001	C01839
LMPK12090007	C10523
LMPK12111330	C10197
LMPK12020236	C09760
LMPK12050104	C14536
LMPK12100072	C10505
LMPK12080024	C10507
LMPK12050100	C10199
LMPK13040001	C07606
LMPK12140355	C05334
LMPK12140449	C09756
LMPK13090037	C10259
LMPK13090042	C14341
LMPK12110248	C04024
LMPK12110847	C10192
LMPK12111229	C10072
LMPK12111109	C17056
LMPK12111640	C11576
LMPK12111791	C17140
LMPK12112436	C10108
LMPK12112086	C05623
LMPK12111685	C10178
LMPK12020178	C09736
LMPK12020230	C09650
LMPK12020239	C09646
LMPK12050384	C10471
LMPK12050417	C17957
LMPK12060007	C07593
LMPK12050475	C02675
LMPK15020007	C10462
LMPK15020008	C17495
LMPK15020009	C17496
LMPK15030012	C10809
LMPK04000011	C06634
LMPK13040006	C10315
LMPK12030013	C10233
LMPK12110468	C01470
LMPK12110244	C10110
LMPK12110043	C10047
LMPK12111231	C10119
LMPK12111443	C10190
LMPK12112194	C17563
LMPK12050224	C12625
LMPK12010293	C16370
LMPK12010160	C16372
LMPK04000016	C09981
LMPK12120396	C01592
LMPK04000021	C11968
LMPK04000041	C12154
LMPK05000006	C12176
LMPK13040012	C10382
LMPK13040013	C10384
LMPK12110002	C10084
LMPK12140366	C09732
LMPK13090010	C10266
LMPK12110940	C10079
LMPK12112589	C17059
LMPK12112283	C10194
LMPK12112292	C10120
LMPK12050219	C05376
LMPK12010449	C12647
LMPK12110189	C10028
LMPK12040006	C10182
LMPK13090032	C10247
LMPK13050002	C01907
LMPK13040011	C10379
LMPK13050005	C12433
LMPK12110004	C00389
LMPK12111977	C10602
LMPK12113151	C10189
LMPK12010112	C08629
LMPK12050499	C10204
LMPK12112310	C03897
LMPK13010002	C02657
LMPK10000003	C03686
LMPK10000006	C06800
LMPK13110002	C09016
LMPK12140439	C09831
LMPK13090034	C10254
LMPK12110560	C11580
LMPK12111397	C10078
LMPK12111622	C10036
LMPK12112139	C12638
LMPK12060020	C10506
LMPK12010282	C16315
LMPK12010421	C08643
LMPK13090006	C05901
LMPK13040007	C10316
LMPK12110001	C10107
LMPK12140214	C09827
LMPK12010417	C08729
LMPK12110799	C04293
LMPK12110373	C10020
LMPK12111174	C10104
LMPK12112308	C01155
LMPK12112179	C12639
LMPK12050054	C10527
LMPK12050480	C10530
LMPK12160024	C10491
LMPK12100063	C09931
LMPK13050001	C01661
LMPK07000006	C06626
LMPK04000028	C11987
LMPK04000029	C11988
LMPK05000002	C12891
LMPK06000003	C07909
LMPK12010004	C08716
LMPK12120038	C08573
LMPK12140414	C08600
LMPK12140136	C09828
LMPK12110188	C10029
LMPK12110606	C10188
LMPK12111641	C11581
LMPK12111167	C14472
LMPK12111249	C10032
LMPK12110659	C12630
LMPK12112309	C01156
LMPK12111865	C16981
LMPK12020209	C05909
LMPK12080026	C10540
LMPK13040015	C10401
LMPK13060001	C06686
LMPK04000023	C11976
LMPK04000030	C11989
LMPK12140164	C09752
LMPK12030012	C10231
LMPK13090004	C13632
LMPK13090025	C15066
LMPK13090036	C10256
LMPK12110824	C10038
LMPK12050326	C10203
LMPK12050477	C10416
LMPK12050081	C02920
LMPK12120283	C17445
LMPK06000001	C06572
LMPK04000027	C11986
LMPK04000031	C11990
LMPK10000004	C03944
LMPK07000005	C06624
LMPK12030004	C10238
LMPK12140571	C09833
LMPK12030005	C09731
LMPK12040007	C09763
LMPK12111227	C10033
LMPK12112516	C10115
LMPK12050102	C14314
LMPK12113075	C10027
LMPK12050500	C10415
LMPK12010233	C12141
LMPK12020002	C12127
LMPK12120469	C09978
LMPK13090013	C10276
LMPK12020004	C12136
LMPK12120294	C16417
LMPK12120516	C09754
LMPK12030007	C10222
LMPK13090014	C10285
LMPK12111100	C10024
LMPK12111474	C10191
LMPK12112860	C10068
LMPK12112991	C04581
LMPK12050069	C17765
LMPK12050089	C16188
LMPK12050229	C00814
LMPK12080012	C10421
LMPK12010445	C08728
LMPK15030066	C14750
LMPK12120452	C09618
LMPK12040009	C10018
LMPK14000008	C11612
LMPK12110006	C01514
LMPK12140001	C00509
LMPK12040005	C10179
LMPK12110159	C10601
LMPK12110356	C12627
LMPK12112982	C10031
LMPK12050157	C10518
LMPK12070128	C01263
LMPK12010140	C16369
LMPK12010150	C16373
LMPK12120511	C09644
LMPK04000012	C06653
LMPK04000032	C11991
LMPK05000008	C12247
LMPK07000002	C07225
LMPK12010003	C05904
LMPK04000017	C10606
LMPK12030002	C17639
LMPK12112861	C10180
LMPK12112983	C10122
LMPK12020233	C09641
LMPK12113194	C10050
LMPK12050053	C10522
LMPK12050287	C10498
LMPK12080048	C10495
LMPK12060019	C10417
LMPK12050055	C14313
LMPK12020232	C09505
LMPK12111159	C10058
LMPK05000007	C12246
LMPK10000005	C11278
LMPK12050000	C00799
LMPK12140065	C09616
LMPK12140599	C09479
LMPK12140302	C09734
LMPK12030001	C10221
LMPK13090019	C14622
LMPK12110158	C10594
LMPK12110097	C10043
LMPK12111250	C10186
LMPK12111666	C16490
LMPK12112688	C05902
LMPK12050188	C10542
LMPK12050327	C12134
LMPK12050383	C10467
LMPK12050463	C03567
LMPK12050502	C10457
LMPK12010292	C16301
LMPK12010005	C08727
LMPK13090030	C16014
LMPK13090040	C10271
LMPK15010001	C14550
LMPK13090043	C14685
LMPK12120517	C01604
LMPK12010006	C08726
LMPK04000037	C11996
LMPK04000042	C12753
LMPK07000009	C12011
LMPK12120545	C09471
LMPK12120039	C08648
LMPK12140499	C17446
LMPK12100001	C09158
LMPK13090020	C14662
LMPK12112994	C17788
LMPK12050361	C10201
LMPK12050501	C10419
LMPK12080025	C10526
LMPK12010393	C16296
LMPK12113150	C10185
LMPK13040010	C10360
LMPK12100002	C09275
LMPK13090012	C10275
LMPK13090022	C14739
LMPK13090029	C15457
LMPK12111653	C10044
LMPK12112754	C10117
LMPK12050056	C01562
LMPK12050419	C17958
LMPK12070011	C05230
LMPK12090018	C10205
LMPK12060023	C10512
LMPK12070109	C15511
LMPK13090005	C03582
LMPK12110035	C12123
LMPK12110166	C11325
LMPK05000001	C12796
LMPK04000014	C06912
LMPK06000004	C12155
LMPK14000005	C06770
LMPK13090017	C13706
LMPK12140276	C09724
LMPK13090031	C16604
LMPK13090038	C10268
LMPK12110337	C04858
LMPK12110490	C10109
LMPK12113234	C04527
LMPK12111095	C10023
LMPK12020036	C12128
LMPK12010009	C08246
LMPK12050218	C06563
LMPK12060027	C10537
LMPK12111468	C10112
LMPK12010428	C08646
LMPK04000015	C08031
LMPK04000022	C11975
LMPK05000005	C12044
LMPK13120002	C07580
LMPK13110003	C09049
LMPK12010001	C05908
LMPK12110005	C01477
LMPK12140003	C01709
LMPK13090009	C10264
LMPK12111282	C17787
LMPK12111494	C14953
LMPK12111577	C10177
LMPK12112624	C10176
LMPK12010162	C16299
LMPK12050461	C16228
LMPK12020013	C09735
LMPK05000003	C01848
LMPK04000010	C06633
LMPK04000013	C06838
LMPK12140061	C09762
LMPK12140490	C18024
LMPK12030011	C10228
LMPK13090016	C13702
LMPK13090027	C15268
LMPK12040002	C09761
LMPK12070004	C15509
LMPK12110190	C11621
LMPK12110500	C10102
LMPK12111160	C10184
LMPK12111164	C17784
LMPK12111566	C10041
LMPK12112482	C12633
LMPK12050083	C02495
LMPK12080014	C10515
LMPK12050163	C10420
LMPK12070124	C10422
LMPK12160040	C08974
LMPK12020035	C09320
LMPK14000007	C08057
LMPK12140237	C09099
LMPK12120243	C16404
LMPK12140275	C09319
LMPK12030003	C10209
LMPK12112311	C03898
LMPK12112498	C11620
LMPK12113009	C10030
LMPK12070062	C10531
LMPK12090012	C10529
LMPK13090024	C14763
LMPK05000004	C01849
LMPK04000040	C12153
LMPK10000001	C00961
LMPK13050003	C12429
LMPK12120271	C15525
LMPK12120468	C09829
LMPK12110488	C10026
LMPK12111018	C10046
LMPK12111228	C10040
LMPK12112731	C01265
LMPK12050173	C16192
LMPK12070050	C10502
LMPK12070149	C10200
LMPK12060047	C10535
LMPK12010095	C08647
LMPK12010345	C16351
LMPK12111423	C10183
LMPK15030001	C10770
LMPK10000002	C03683
LMPK07000001	C06973
LMPK12140002	C05631
LMPK12130053	C08722
LMPK12120021	C16978
LMPK12040001	C09758
LMPK13090015	C10287
LMPK12040004	C10057
LMPK12110636	C10103
LMPK12112546	C10022
LMPK12112762	C04444
LMPK12050039	C12125
LMPK12050286	C10486
LMPK12050328	C12135
LMPK12010027	C12645
LMPK12160036	C08993
LMPK12010424	C08575
LMPK12010188	C16292
LMPK15040002	C10759
LMPK15010007	C10785
LMPK04000002	C03240
LMPK06000002	C06573
LMPK07000007	C06627
LMPK14000003	C05086
LMPK12110003	C05903
LMPK12120098	C15531
LMPK12140620	C15118
LMPK12030010	C10227
LMPK12040008	C10017
LMPK13090026	C15131
LMPK12050265	C10520
LMPK12111170	C14985
LMPK12070051	C10508
LMPK12070127	C10198
LMPK12010315	C16354
LMPK15040003	C10794
LMPK12111447	C14476
LMPK04000001	C12039
LMPK04000019	C11960
LMPK04000020	C11967
LMPK04000007	C01946
LMPK12020003	C09727
LMPK12111030	C10187
LMPK12111663	C12626
LMPK12112986	C10118
LMPK12050385	C10534
LMPK12050101	C10536
LMPK13050004	C12430
LMPK13090018	C14233
LMPK13090028	C15296
LMPK04000036	C11995
LMPK12020001	C06562
LMPK12100003	C10414
LMPK12030008	C10223
LMPK12110336	C04608
LMPK12112304	C00616
LMPK12112998	C04552
LMPK12113198	C10051
LMPK12020160	C09970
LMPK12050037	C00858
LMPK12050201	C10511
LMPK12010021	C12644
LMPK12111552	C10037
LMPK15030026	C10802
LMPK12140034	C08719
LMPK04000003	C01375
LMPK04000006	C01912
LMPK04000025	C11984
LMPK12120487	C09975
LMPK12140187	C09939
LMPK13090011	C10273
LMPK13090033	C10253
LMPK13090041	C10281
LMPK12110218	C10195
LMPK12111442	C10111
LMPK12070072	C10461
LMPK12120573	C09774
LMPK12120096	C08650
LMPK12100004	C10504
LMPK13090021	C14679
LMPK13090023	C14740
LMPK12040003	C10048
LMPK12110873	C10193
LMPK12110738	C05990
LMPK12111451	C15109
LMPK12111858	C17600
LMPK12050479	C01590
LMPK12070129	C10424
LMPK12070130	C10539
LMPK12010138	C16289
LMPK12010294	C16367
LMPK13060002	C10101
LMPK12120264	C06561
LMPK12110217	C04199
LMPK12110219	C10196
LMPK12111029	C10019
LMPK12113001	C10116
LMPK12050244	C10519
LMPK12050353	C10521
LMPK12070126	C10516
LMPK12010113	C08639
LMPK12010277	C08641
LMPK12111639	C10049
LMPK04000009	C06616
LMPK07000008	C06654
LMPK13120003	C10784
LMPK13040017	C13526
LMPK12140624	C15019
LMPK12111158	C10609
LMPK12111361	C10097
LMPK12010018	C16305
LMPK12050458	C10418
LMPK12080050	C10202
LMPK12050020	C16222
LMPK12050162	C10513
LMPK12070114	C10206
LMPK12090046	C10541
LMPK15030011	C10800
LMPK07000004	C06571
LMPK13040005	C10314
LMPK12140075	C09614
LMPK12120111	C08578
LMPK12110098	C10121
LMPK12110563	C10098
LMPK12110912	C10106
LMPK12110644	C03515
LMPK12110663	C12632
LMPK12111652	C10045
LMPK12112990	C10021
LMPK12050493	C10207
LMPK12080013	C10425
LMPK12070028	C10503
LMPK12010278	C12138
LMPK13020001	C12048
LMPK12050082	C16226
LMPK06000005	C12156
LMPK13040003	C10307
LMPK13040016	C10404
LMPK12140452	C09806
LMPK12113231	C04109
LMPK12020203	C05906
LMPK12020227	C09757
LMPK12050038	C10208
LMPK12050251	C10510
LMPK12070020	C10514
LMPK12070123	C01701
LMPK12010333	C16303
LMPK14000004	C06689
LMPK04000018	C11959
LMPK04000026	C11985
LMPK13110001	C09010
LMPK12010002	C05905
LMPK12120274	C16405
LMPK12120467	C09759
LMPK12110292	C08064
