LipidMaps	KEGG
LMFA01170116	C01732
LMFA11000589	C17433
LMFA12000064	C00810
LMFA01050451	C07355
LMFA01050479	C03217
LMFA01030966	C03666
LMFA07050232	C03069
LMFA05000001	C02277
LMFA03010134	C04741
LMFA01030195	C01771
LMFA05000002	C08381
LMFA01170009	C02678
LMFA01060168	C01092
LMFA05000062	C01633
LMFA07060012	C05754
LMFA07060038	C12365
LMFA08010002	C01842
LMFA11000573	C08376
LMFA01030060	C16536
LMFA08020142	C02722
LMFA07010575	C12293
LMFA05000703	C02498
LMFA01090153	C03585
LMFA01050444	C04593
LMFA01031001	C11354
LMFA07010822	C10320
LMFA07050248	C16216
LMFA11000712	C08464
LMFA01120001	C13800
LMFA03010035	C05953
LMFA03120003	C13813
LMFA01010009	C01601
LMFA02000278	C14834
LMFA05000007	C16873
LMFA11000003	C01816
LMFA01050352	C00418
LMFA02000016	C14765
LMFA01100036	C05520
LMFA07060040	C05764
LMFA03010205	C04835
LMFA01100048	C16439
LMFA01030968	C16653
LMFA03090011	C14770
LMFA01050471	C02780
LMFA13010061	C04719
LMFA07050160	C05266
LMFA07050348	C04348
LMFA07010919	C12289
LMFA06000001	C14390
LMFA07050382	C16328
LMFA12000371	C08461
LMFA03010007	C00696
LMFA03020002	C05952
LMFA03010137	C06475
LMFA01170054	C08261
LMFA03060074	C14749
LMFA07070006	C03299
LMFA01020277	C04181
LMFA01060176	C12027
LMFA07060010	C05752
LMFA07060015	C05757
LMFA07060023	C12350
LMFA05000090	C14272
LMFA12000005	C08379
LMFA01100053	C03665
LMFA10000002	C16320
LMFA01030926	C00682
LMFA05000568	C17144
LMFA12000029	C02948
LMFA12000043	C02845
LMFA07050209	C00356
LMFA07050231	C11949
LMFA07050281	C00024
LMFA03080005	C14771
LMFA12000357	C04606
LMFA03100001	C13807
LMFA03020023	C00909
LMFA02000184	C08365
LMFA01170041	C00383
LMFA02000024	C16326
LMFA02000113	C14831
LMFA01060169	C01110
LMFA01090044	C13949
LMFA01100039	C00334
LMFA07060004	C05745
LMFA07060028	C12355
LMFA02000051	C16316
LMFA01060180	C11419
LMFA01170073	C04797
LMFA12000039	C07287
LMFA01050415	C01107
LMFA06000083	C01948
LMFA05000683	C14218
LMFA12000336	C08451
LMFA01080001	C13792
LMFA03060030	C04742
LMFA01020181	C08262
LMFA01030066	C08363
LMFA01030178	C16527
LMFA01010012	C02679
LMFA02000168	C14835
LMFA06000089	C06123
LMFA01050341	C08285
LMFA02000230	C14829
LMFA07060027	C12354
LMFA04000044	C16513
LMFA12000007	C08394
LMFA05000130	C00756
LMFA01050416	C01143
LMFA05000006	C08392
LMFA01050527	C08314
LMFA08010016	C11106
LMFA07050249	C05267
LMFA07050256	C05261
LMFA01060160	C16322
LMFA02000326	C19418
LMFA01020425	C18206
LMFA01050010	C02804
LMFA01060003	C00164
LMFA02000013	C14832
LMFA01020278	C04237
LMFA01020279	C04834
LMFA01160003	C13842
LMFA03060086	C14776
LMFA01100054	C05145
LMFA12000075	C15499
LMFA01060161	C03273
LMFA01050485	C03045
LMFA01050494	C16651
LMFA08020198	C05944
LMFA07050156	C05268
LMFA07050251	C06715
LMFA04030011	C18178
LMFA03010005	C04685
LMFA07040001	C13823
LMFA03010021	C14717
LMFA06000028	C01545
LMFA01050243	C01089
LMFA03060069	C14778
LMFA02000014	C14833
LMFA05000112	C16834
LMFA05000108	C07328
LMFA05000171	C14509
LMFA03020079	C11361
LMFA01050469	C04104
LMFA01030994	C18202
LMFA07070054	C02862
LMFA03010008	C00584
LMFA03010009	C05956
LMFA03010146	C04654
LMFA01030002	C00712
LMFA01050005	C01089
LMFA08040013	C16512
LMFA01060093	C16309
LMFA01170022	C08260
LMFA02000224	C07354
LMFA02000237	C03195
LMFA00000008	C15989
LMFA01170072	C04324
LMFA08010006	C00248
LMFA06000117	C08499
LMFA02000053	C04672
LMFA01170118	C02170
LMFA07010505	C19238
LMFA03030015	C02198
LMFA07050229	C11936
LMFA07050307	C00877
LMFA07050328	C05270
LMFA03010176	C05959
LMFA01060001	C13945
LMFA02000262	C00869
LMFA02000188	C14767
LMFA01100051	C03401
LMFA03060071	C14820
LMFA02000225	C07355
LMFA02000281	C04594
LMFA03010160	C04686
LMFA12000008	C08386
LMFA05000099	C04433
LMFA11000590	C08393
LMFA01100057	C01602
LMFA09000002	C13832
LMFA12000004	C08380
LMFA13010054	C04103
LMFA01050473	C16850
LMFA05000652	C01349
LMFA08020194	C18232
LMFA07050257	C05260
LMFA07011026	C08546
LMFA07050394	C05276
LMFA04030001	C18179
LMFA03010133	C05955
LMFA01030118	C04056
LMFA01030051	C08322
LMFA01030405	C16533
LMFA01030407	C16534
LMFA07060032	C12359
LMFA01030742	C07289
LMFA01170064	C02123
LMFA00000007	C12889
LMFA08010022	C04424
LMFA07050212	C03561
LMFA07050355	C01944
LMFA07010775	C12306
LMFA12000337	C08445
LMFA12000355	C04485
LMFA03060008	C14822
LMFA02000275	C13791
LMFA03050006	C14773
LMFA03010025	C02314
LMFA03010049	C06438
LMFA01020104	C16462
LMFA03090005	C14808
LMFA03120001	C13810
LMFA01030092	C08323
LMFA01090034	C13948
LMFA01170018	C11002
LMFA01080008	C13946
LMFA01100004	C19325
LMFA05000109	C06142
LMFA12000057	C00207
LMFA01050460	C06010
LMFA01030987	C03087
LMFA01090070	C11149
LMFA01020393	C11515
LMFA13010064	C17614
LMFA07070105	C03017
LMFA07050284	C14143
LMFA01100001	C13795
LMFA03020001	C02165
LMFA03050008	C14774
LMFA03060006	C14776
LMFA01020008	C16665
LMFA01010010	C01571
LMFA01020276	C03467
LMFA06000112	C06123
LMFA07060035	C12362
LMFA03010000	C02064
LMFA02000238	C15988
LMFA01020291	C07185
LMFA01050475	C00204
LMFA05000695	C01844
LMFA01170133	C03453
LMFA07010742	C19318
LMFA07050292	C00136
LMFA01140055	C08282
LMFA07020001	C13822
LMFA03060014	C05966
LMFA03010004	C00696
LMFA03010135	C06439
LMFA03010020	C05958
LMFA01060007	C00902
LMFA06000002	C08497
LMFA06000006	C19249
LMFA01060170	C01180
LMFA07060036	C12363
LMFA01060179	C11405
LMFA03080012	C04849
LMFA01010003	C00163
LMFA07040004	C01770
LMFA01020394	C02930
LMFA01050452	C06007
LMFA07050345	C00083
LMFA07050239	C05265
LMFA07050343	C02050
LMFA03140011	C18173
LMFA03020016	C05950
LMFA01060010	C02129
LMFA01170049	C02360
LMFA07060005	C05746
LMFA07060016	C05758
LMFA08030002	C11837
LMFA02000036	C14767
LMFA07070002	C02838
LMFA12000006	C08377
LMFA01060190	C06002
LMFA01090001	C13793
LMFA01050457	C14463
LMFA07050205	C11947
LMFA03030002	C05963
LMFA03060009	C14748
LMFA03080004	C14770
LMFA03060012	C05356
LMFA03060037	C04822
LMFA01010004	C00246
LMFA06000088	C00517
LMFA01050343	C06762
LMFA01060173	C03656
LMFA01140002	C08321
LMFA07060009	C05751
LMFA07060026	C12353
LMFA12000002	C01875
LMFA01100034	C02356
LMFA03020034	C02645
LMFA01170114	C01036
LMFA01100046	C16436
LMFA05000101	C05979
LMFA11000040	C09666
LMFA01050490	C04349
LMFA01050442	C02225
LMFA07070060	C02571
LMFA07010935	C08446
LMFA01050001	C13790
LMFA03010019	C05957
LMFA03010010	C00427
LMFA01010001	C00249
LMFA01020030	C08279
LMFA01050004	C05984
LMFA01030193	C00511
LMFA01170047	C06035
LMFA02000226	C07357
LMFA01060174	C06761
LMFA07060011	C05753
LMFA02000052	C04785
LMFA01030784	C16461
LMFA01170082	C02220
LMFA07010611	C12294
LMFA02000195	C03042
LMFA01010013	C17076
LMFA03010026	C05960
LMFA01010014	C06424
LMFA01010008	C06423
LMFA08040011	C13828
LMFA03070025	C18177
LMFA02020003	C16317
LMFA02000018	C16321
LMFA01030756	C16344
LMFA01170066	C01061
LMFA03010206	C04758
LMFA01170075	C04529
LMFA08020193	C06551
LMFA01050427	C11849
LMFA08020169	C06940
LMFA07040067	C03107
LMFA05000563	C18011
LMFA01030923	C08364
LMFA01170002	C16308
LMFA01010006	C01585
LMFA02020001	C08491
LMFA07030001	C13845
LMFA03010036	C05959
LMFA01060008	C02122
LMFA01050051	C18218
LMFA03080007	C14781
LMFA01060191	C03824
LMFA02000012	C14827
LMFA01100035	C02378
LMFA07060018	C05760
LMFA07060037	C12364
LMFA11000005	C08384
LMFA01170071	C03676
LMFA03070034	C18176
LMFA05000693	C08553
LMFA01050454	C02488
LMFA01050476	C00684
LMFA04010007	C13819
LMFA03060001	C04742
LMFA03010002	C00639
LMFA03010031	C04671
LMFA01010007	C17714
LMFA05000003	C08387
LMFA01170006	C08277
LMFA01020280	C06008
LMFA02000229	C14828
LMFA07060006	C05747
LMFA07060024	C12351
LMFA07060025	C12352
LMFA12000003	C01949
LMFA01140008	C12103
LMFA13020004	C18191
LMFA01170121	C00322
LMFA08020084	C12271
LMFA12000020	C00466
LMFA08020140	C12272
LMFA01050453	C04272
LMFA01050486	C01216
LMFA05000566	C07288
LMFA13010041	C08561
LMFA01060167	C16311
LMFA03060007	C14777
LMFA03010003	C00584
LMFA03010018	C05954
LMFA03010080	C06872
LMFA01060002	C00109
LMFA01030455	C08459
LMFA03110010	C14794
LMFA03060072	C14821
LMFA01030357	C16300
LMFA02000227	C08318
LMFA07060014	C05756
LMFA01170077	C02480
LMFA01090150	C12833
LMFA05000100	C14710
LMFA08020166	C12099
LMFA07050331	C00630
LMFA07050347	C05989
LMFA07010001	C13821
LMFA03090002	C14809
LMFA03030004	C05964
LMFA03080002	C14768
