HMDB	KEGG	LipidMaps	compoundName_HMDB	compoundName_LipidMaps
		LMPK12120601		
		LMPK12120381		
		LMPK12120442		
		LMPK12140217		Pinocembrin 5,7-dimethyl ether
		LMPK12130067		Nigrescin
		LMPK12120001		Flemiwallichin D
		LMPK12120122		Demethoxyisogemichalcone C
		LMPK12120183		Okanin 3,4,3',4'-tetramethyl ether
		LMPK12120187		
		LMPK12120195		
		LMPK12120220		
		LMPK12120259		Sericone
		LMPK12120343		
		LMPK12120347		
		LMPK12120365		
		LMPK12130013		
		LMPK12130026		
		LMPK12140059		Euchrenone a17
		LMPK12140210		Linderatone
		LMPK12140267		
		LMPK12140284		Flemiflavanone D
		LMPK12140287		Lonchocarpol B
		LMPK12140299		Remangiflavanone A
		LMPK12140428		Tanariflavanone B
		LMPK12140442		Exiguaflavanone K
		LMPK12140476		Kenusanone E
		LMPK12140494		
		LMPK12140527		Leachianone F
		LMPK12140576		
		LMPK12140589		
		LMPK12140686		
		LMPK12140690		
		LMPK12140024		Liquiritigenin 7-apiofuranoside-4'-glucoside
		LMPK12110058		Sanaganone
		LMPK12112808		
		LMPK12110304		Isovitexin 4'-O-glucoside 2''-O-(E)-ferulate
		LMPK12110241		Isovitexin 2''-O-xyloside
		LMPK12110303		Vitexin 7-O-glucoside 2''-p-coumarate
		LMPK12110340		Apigenin 5-galactoside
		LMPK12110224		Isoviolanthin
		LMPK12110737		Luteolin 7,3'-disulfate
		LMPK12110256		Isoschaftoside 2'''-ferulate
		LMPK12110635		3-C-Methylluteolin 5-rhamnoside
		LMPK12110398		Apigenin 7-(2''-E-p-coumaroylglucoside)
		LMPK12110528		Perfoliatumin B
		LMPK12110139		Chrysin 6-C-alpha-L-arabinopyranoside-8-C-glucoside
		LMPK12110290		Neosaponarin
		LMPK12110868		Tricin 7-rutinoside-4'-glucoside
		LMPK12110952		
		LMPK12111165		Ladanein
		LMPK12110535		Orientin 4'-glucoside
		LMPK12110748		Isoscoparin 2''-O-rhamnoside
		LMPK12110676		Luteolin 3',4'-diglucuronide
		LMPK12111126		Pectolinarigenin 7-glucuronide
		LMPK12110551		Mumenin
		LMPK12111212		6-Methoxyluteolin 7-glucuronide methyl ester
		LMPK12111234		6-Hydroxyluteolin 5,6-dimethyl ether
		LMPK12111245		Carajuflavone
		LMPK12111255		6-Methoxyluteolin 3',4'-disulfate
		LMPK12111272		
		LMPK12111303		Scutevulin
		LMPK12110834		Tricetin 6-C-glucoside-8-C-arabinoside
		LMPK12111206		6-Hydroxyluteolin 6,7,3'-trimethyl ether 4'-glucoside
		LMPK12111122		Scutellarein 6,7-dimethyl ether 4'-glucoside
		LMPK12110837		6,8-Di-C-arabinopyranosyltricetin
		LMPK12111430		
		LMPK12111489		Gardenin C
		LMPK12111534		Artocommunol CA
		LMPK12111626		
		LMPK12111655		Galangin 5-methyl ether
		LMPK12111319		Norwogonin 7-glucuronide
		LMPK12111357		8-Hydroxyapigenin 8-(2''-sulfatoglucuronide)
		LMPK12111976		8-C-p-Hydroxybenzylkaempferol
		LMPK12111980		Macarangin
		LMPK12112075		Quercetin 3-(2'',3'',4''-triacetylgalactoside)
		LMPK12112092		Quercetin 3-galactosyl-(1->2)-glucoside
		LMPK12111380		8-Hydroxyluteolin 3'-methyl ether 7-glucoside
		LMPK12112024		Anhydroicaritin 3-(6'''-acetylgalactosyl)(1->3)-rhamnoside-7-glucoside
		LMPK12111550		Resokaempferol 4'-glucoside
		LMPK12111876		Sagittatin A
		LMPK12111939		Kaempferol 3-(2''-(Z)-p-coumaroylglucoside)
		LMPK12111860		Kaempferol 3-xyloside-7-glucoside
		LMPK12111926		Depressonol A
		LMPK12111901		Sutchuenoside A
		LMPK12112538		Sophoflavescenol
		LMPK12112594		Haplopappin A
		LMPK12112687		
		LMPK12112733		Isokanugin
		LMPK12112769		Quercetin 3,5,3',4'-tetramethyl ether
		LMPK12112804		3-O-Methylalnusin
		LMPK12112228		Quercetin 4'-galactoside
		LMPK12112977		Geranioloxyalatum flavone
		LMPK12112997		Quercetagetin 3,5,7-trimethyl ether
		LMPK12113013		Eupatoretin
		LMPK12113040		
		LMPK12113068		
		LMPK12113258		Gossypetin 7,4'-dimethyl ether 8-butyrate
		LMPK12113204		Corniculatusin 3-alpha-L-arabinofuranoside
		LMPK12112153		Quercetin 3-(6''''-ferulylsophorotrioside)
		LMPK12112571		Rhamnocitrin 3-glucoside-4'-(2''-dihydrophaseoylglucoside)
		LMPK12112946		Patuletin 3-rhamnoside-7-(2'''-acetylrhamnoside)
		LMPK12112958		Quercetagetin 7-(6''-(E)-caffeoylglucoside)
		LMPK12112556		Keyakinin
		LMPK12112480		Larycitrin 3-alpha-L-arabinofuranoside
		LMPK12113315		
		LMPK12113389		Distemonanthin
		LMPK12020083		
		LMPK12112892		Patuletin 3-glucoside
		LMPK12112829		6-Hydroxykaempferol 3-methyl ether 6-glucoside
		LMPK12112838		6-Hydroxykaempferol 3,6-dimethyl ether 7-glucoside
		LMPK12112922		Tomentin 6,4'-diglucoside
		LMPK12020164		Xuulanin
		LMPK12020212		5-O-Methyl-8-prenylafzelechin-4beta-ol
		LMPK12020214		
		LMPK12020263		
		LMPK12020269		
		LMPK12050128		
		LMPK12050180		Ulexin D
		LMPK12050193		Flemiphyllin
		LMPK12050199		Euchrenone b1
		LMPK12113319		Limocitrol 3-[alpha-L-arabinopyranosyl-(1->3)[galactosyl-(1->6)]-galactoside]
		LMPK12020264		Viscutin 3
		LMPK12050264		3'-Hydroxyalpinumisoflavone 4'-methyl ether
		LMPK12050301		Lupinisol C
		LMPK12050330		Derrugenin
		LMPK12050045		Calycosin 7-O-glucoside
		LMPK12020150		Barbatoflavan
		LMPK12020165		Triphyllin B
		LMPK12050260		Pratensein 7-O-(6''-malonylglucoside)
		LMPK12050375		Irisolidone 7-O-glucoside
		LMPK12050230		8-C-Glucosylorobol
		LMPK12050404		Dipteryxine
		LMPK12050410		Dalspinin
		LMPK12080044		Machaerol B
		LMPK12070016		Lespein
		LMPK12070070		
		LMPK12070144		Neorauteen
		LMPK12060034		12a-Methoxydolineone
		LMPK12060074		Boeravinone A
		LMPK15030063		Chaetolactone A
		LMPK12100023		cis-and-trans-Inophyllolide
		LMPK12100052		Exostemin
		LMPK12100065		5-O-Methyllatifolin
		LMPK12100067		Obtusaquinol
		LMPK12100069		(R)-2,4,5-Trimethoxydalbergiquinol
		LMPK12100074		(S)-4,4'-Dimethoxydalbergione
		LMPK12100075		(S)-3'-Hydroxy-4,4'-dimethoxydalbergione
		LMPK12010215		
		LMPK12010143		
		LMPK12010439		Rosacyanin B
		LMPK12010176		
		LMPK12010389		Malvidin 3-glucoside-5-(6''-malonylglucoside)
		LMPK12010224		
		LMPK15030065		4-methoxy-alpha-zearalenol
		LMPK12010151		
		LMPK12010200		
		LMPK12120447		4'-O-Methyldavidioside
		LMPK12113215		Limocitrin 7-(6''-acetylglucoside)
		LMPK12050021		Daidzein 7-O-glucoside-4'-O-apioside
		LMPK12050177		Genistein 7-O-glucoside-4'-O-apioside
		LMPK12140562		Eriodictyol 5,4'-dimethyl ether 7-O-glucoside
		LMPK12060002		Amorphigenin O-glucoside
		LMPK12140140		Pinocembrin 7-O-neohesperidoside 3'''-O-acetate
		LMPK12140142		Pinocembrin 7-O-neohesperidoside 6''-O-acetate
		LMPK12120446		Confusoside
		LMPK12120445		Davidioside
		LMPK12140137		Pinocembrin 5-O-glucoside
		LMPK12050133		Retusin 8-O-arabinoside
		LMPK12113270		Hibiscetin 8,3'-dimethyl ether 3-rhamnoside
		LMPK12111103		Abrusin 2''-O-beta-apiofuranoside
		LMPK12120141		
		LMPK12110812		Luteolin 4'-methyl ether 7-alpha-L-arabinofuranosyl-(1->6)-beta-D-glucoside
		LMPK12112567		Rhamnocitrin 3-apiosyl-(1->2)-glucoside-4'-glucoside
		LMPK12120282		Kuraridin
		LMPK12050024		Formononetin 7-O-apiosyl-(1->2)-glucoside
		LMPK12111877		Kaempferol 3-glucosyl-(1->3)-rhamnoside-7-rhamnoside
		LMPK12140593		Naringenin 5,7-dimethyl ether 4'-O-xylosyl-(1->4)-arabinoside
		LMPK12130016		Leptosidin 6-xylosyl-(1->4)-arabinoside
		LMPK12111214		6-Hydroxyluteolin 3'-methyl ether 7-[6''-(3-hydroxy-3-methylglutaryl)glucoside]
		LMPK12111208		6-Hydroxyluteolin 7-[3''-(3-hydroxy-3-methylglutaryl)glucoside]
		LMPK12111209		6-Hydroxyluteolin 7-[4''-(3-hydroxy-3-methylglutaryl)glucoside]
		LMPK12110690		Luteolin 7-(6''-acetylglucoside)
		LMPK12113415		7,8-dihydroxyflavone
		LMPK12120164		Okanin 3',4'-diglucoside
		LMPK12111271		
		LMPK12111285		Psiadiarabicin
		LMPK12120261		Derrichalcone
		LMPK12111332		7-O-Methylwogonin
		LMPK12111507		Tamadone
		LMPK12120171		Okanin 4-methyl ether 4'-primveroside
		LMPK12120215		
		LMPK12130063		Castillene C
		LMPK12020000		Flavan skeleton
		LMPK12111040		Muxiangrin III
		LMPK12120310		
		LMPK12120344		
		LMPK12120360		Isodidymocarpin
		LMPK12120376		5'-Prenyllicodione
		LMPK12120432		Glypallichalcone
		LMPK12120460		
		LMPK12120465		Thonningianin A
		LMPK12120473		Chamuvaritin
		LMPK12120476		Isotriuvaretin
		LMPK12120535		
		LMPK12120590		4,2',4',beta-Tetrahydroxy-6'-methoxydihydrochalcone
		LMPK12140139		Pinocembrin 7-O-neohesperidoside 2'''-O-acetate
		LMPK12140035		7,4'-Dihydroxy-6,8-di-C-prenylflavanone
		LMPK12140038		Abyssinone IV
		LMPK12140076		
		LMPK12140078		Euchrenone a7
		LMPK12140098		
		LMPK12140113		Exiguaflavanone F
		LMPK12140141		Pinocembrin 7-O-neohesperidoside 4'''-O-acetate
		LMPK12140203		Desmosflavanone II
		LMPK12140208		Obovatin
		LMPK12140231		Poriolin
		LMPK12140307		Lupinifolin
		LMPK12140467		Sophoraflavanone G
		LMPK12140374		
		LMPK12140006		
		LMPK12140640		
		LMPK12140674		8-Methoxyeriodictyol
		LMPK12150002		Gericudranins B
		LMPK12140361		Eriodictyol 5-O-glucoside
		LMPK12140652		Andrographidin A
		LMPK12111524		Carpelastofuran
		LMPK12140665		Isocarthamidin 8-glucoside
		LMPK12110015		Semiglabrinol
		LMPK12111028		Eucalyptin
		LMPK12110476		Orientin 2''-acetate
		LMPK12110448		Acacetin 7-(6''-methylglucuronide)
		LMPK12110487		Lucenin 3
		LMPK12110995		6-C-Glucopyranosyl-8-C-galactopyranosylgenkwanin
		LMPK12110475		6-C-Fucopyranosylluteolin
		LMPK12110522		Cassiaoccidentalin B
		LMPK12110801		8-C-beta-D-Glucopyranosyldiosmetin
		LMPK12110957		
		LMPK12110810		Luteolin 4'-methyl ether 7-glucoside
		LMPK12110788		Chrysoeriol 7-apiosyl-(1->6)-glucoside
		LMPK12110235		Mollupentin 2''-O-rhamnoside
		LMPK12110869		Tricin 4'-apioside
		LMPK12110740		Alternanthin
		LMPK12111162		Scutellarein 4'-methyl ether
		LMPK12111597		
		LMPK12111643		
		LMPK12111656		Izalpinin
		LMPK12111991		Calomelanol D
		LMPK12111323		Wogonin 7-glucuronide
		LMPK12111134		6-Hydroxyapigenin 7-glucuronosyl-(1->2)-glucuronide
		LMPK12111079		
		LMPK12112070		Quercetin 3-(6''-p-hydroxybenzoylgalactoside)
		LMPK12111203		6-Hydroxyluteolin 6,4'-dimethyl ether 7-glucoside
		LMPK12111688		Kaempferol 3-rhamnosyl-(1->2)[rhamnosyl-(1->6)-galactoside]-7-glucoside
		LMPK12112005		Sagittatoside B
		LMPK12111829		Kaempferol 7-O-(6-trans-caffeoyl)-beta-glucopyranosyl-(1->3)-alpha-rhamnopyranoside-3-O-beta-glucopyranoside
		LMPK12111972		Kaempferol 3-(2'''-(E)-caffeoylglucosyl)-(1->2)-glucoside-7-cellobioside
		LMPK12113251		Gossypetin 7,8,3',4'-tetramethyl ether
		LMPK12112493		Syringetin 3-xyloside
		LMPK12112166		8-C-Methylquercetin 3-xyloside
		LMPK12112382		Isorhamnetin 3-xylosyl-(1->2)-glucoside-7-rhamnoside
		LMPK12112443		Myricetin 3,7-diglucuronide
		LMPK12112438		Myricetin 7-glucoside
		LMPK12112190		Quercetin 3-glucosyl-(1->4)-mannoside
		LMPK12112343		Isorhamnetin 3-glucoside-7-rhamnoside
		LMPK12112407		Tamarixetin 3,7-diglucoside
		LMPK12110085		
		LMPK12112378		Isorhamnetin 3-apiosyl-(1->2)-glucoside
		LMPK12112569		Rhamnocitrin 3-(5'''-p-coumarylapiosyl)-(1->2)-glucoside
		LMPK12112334		Isorhamnetin 3-(6''-acetylgalactoside)
		LMPK12112191		Quercetin 3-xylosyl-(1->2)-rhamnoside
		LMPK12112503		Mearnsetin 3-O-(4''-O-acetyl)-alpha-L-rhamnopyranoside
		LMPK12112579		Kaempferol 7-methyl ether 4'-glucoside
		LMPK12112586		Kaempferol 7-methyl ether 3-(6-(E)-3,5-dimethoxy-4-hydroxycinnamoylglucosyl)-(1->2)-[rhamnosyl-(1->6)-glucoside]
		LMPK12112444		Myricetin 3-acetylrhamnoside
		LMPK12112627		Quercetin 7-methyl ether 3,3'-disulfate
		LMPK12112768		Quercetin 3,3',4'-trimethyl ether
		LMPK12112792		Myricetin 3,7,3',4'-tetramethyl ether
		LMPK12112794		Combretol
		LMPK12112881		6-Hydroxykaempferol 3-methyl ether 7-O-sulfate
		LMPK12113007		Quercetagetin 3,5,7,3'-tetramethyl ether
		LMPK12113026		
		LMPK12113035		Eupatin 3-O-sulfate
		LMPK12113077		8-Hydroxygalangin 3-methyl ether 8-angelate
		LMPK12113148		
		LMPK12113226		
		LMPK12130044		Bracteatin
		LMPK12113199		Gossypetin 8-glucuronide
		LMPK12112669		Isokaempferide 7-glucoside
		LMPK12112928		Jaceidin 5-glucoside
		LMPK12113203		Ranupenin 3-rhamnoside
		LMPK12020016		
		LMPK12020088		Pyranochromene
		LMPK12020145		3',4'-Methylenedioxy epicatechin 5,7-dimethyl ether
		LMPK12112948		Patuletin 3-rhamnoside-7-(4'''-acetylrhamnoside)
		LMPK12112597		Keyakinin B
		LMPK12050191		6,8-Diprenylgenistein
		LMPK12050267		1'',2''-Dihydro-8-hydroxyisopentanyl-3'-methoxy-4'-O-methylalpinumisoflavone
		LMPK12050275		Lupinisoflavone L
		LMPK12050304		8-Prenylluteone
		LMPK12050305		Euchrenone b5
		LMPK12050314		Isoauriculatin
		LMPK12050388		7-O-Methyltectorigenin
		LMPK12020197		Quercetol A
		LMPK12020204		
		LMPK12050237		Orobol 7-O-(6''-malonylglucoside)
		LMPK12050176		Genistein 7-O-(2''-p-coumaroylglucoside)
		LMPK12050354		Isovolubilin
		LMPK12050451		
		LMPK12050484		Diphysolone
		LMPK12080010		Millinol B
		LMPK12080035		Lonchocarpan
		LMPK12080047		Neorauflavane
		LMPK12070031		(-)-Homopterocarpin
		LMPK12070065		2-Hydroxyhomopterocarpin
		LMPK12070071		Nissolicarpin
		LMPK12090022		Mirificoumestan
		LMPK12090044		Glycyrol
		LMPK12060050		(+)-12a-Hydroxyerythynone
		LMPK12160041		
		LMPK12100046		
		LMPK12070036		Methylnissolin 3-O-glucoside
		LMPK12100040		
		LMPK12060004		Dalpanol O-glucoside
		LMPK12010142		
		LMPK12010378		
		LMPK12010274		
		LMPK12010243		Peonidin 3-(6''-malonylglucoside)
		LMPK12010361		Petunidin 3-(6''-p-coumarylglucoside)-5-(6'''-malonylglucoside)
		LMPK12010295		Delphinidin 3,5-di(6-acetylglucoside)
		LMPK12120357		Melafolone
		LMPK01000058		Mannosyl-1beta-phosphomycoketide C30
		LMPK12120378		Glyinflanin A
		LMPK12120405		Peltochalcone
		LMPK12120416		Ceroptene
		LMPK13120006		Cannabigerolic acid
		LMPK13120007		Cannabinolic acid
		LMPK12110176		Unonal
		LMPK12120496		Calomelanol C
		LMPK12160610		Epoxybergamottin
		LMPK12111433		Alnetin
		LMPK12120216		Ovalichalcone
		LMPK12140099		
		LMPK15030010		5-undecylresorcinol
		LMPK03000085		cis-Annoreticuin
		LMPK12120462		Lusianin
		LMPK12120327		
		LMPK12130050		
		LMPK12120011		Flemistrictin F
		LMPK12120022		Neoisoliquiritin
		LMPK12120052		
		LMPK12120099		Isoliquiritigenin 4'-methyl ether
		LMPK12120109		Poinsettifolin B
		LMPK12120134		Flemichapparin A
		LMPK12120142		Ponganone VI
		LMPK12130005		Sulfurein
		LMPK12120248		Chalconaringenin 2'-(6''-p-coumarylglucoside)
		LMPK12120523		
		LMPK12120596		Ceratiolin
		LMPK12120611		
		LMPK12140033		Brosimacutin E
		LMPK12140062		Methyl-liquiritigenin
		LMPK12140074		Ponganone III
		LMPK12140097		
		LMPK12140240		Naringenin 5-O-neohesperidoside
		LMPK12140313		Euchrenone a15
		LMPK12140474		Sophoraflavanone E
		LMPK12140485		Exiguaflavanone G
		LMPK12140566		
		LMPK12140578		Amoradicin
		LMPK12110013		Glabratephrinol
		LMPK12110178		
		LMPK12110655		Luteolin 7-arabinopyranosyl-(1->6)-glucoside
		LMPK12110195		Cerarvensin
		LMPK12110296		Isovitexin 7-O-xyloside-2''-O-glucoside
		LMPK12110288		Vitexin 7-O-glucoside
		LMPK12110289		Vitexin 4'-O-glucoside
		LMPK12110281		Vitexin 3''',4'''-Di-O-acetyl 2''-O-rhamnoside
		LMPK12110118		Echioidin
		LMPK12110608		Dillenetin 3-neohesperidoside
		LMPK12110298		Isomollupentin 7,2''-di-O-glucoside
		LMPK12110383		Apigenin 7-(3'',4''-diacetylglucoside)
		LMPK12110730		Desmodol
		LMPK12110910		Artoindonesianin Q
		LMPK12110944		Norartocarpetin 5,7,2',4'-tetramethyl ether
		LMPK12110452		Acacetin 7-(2''-acetylglucoside)
		LMPK12110473		6-C-Galactosylluteolin
		LMPK12110293		Isofurcatain 7-O-glucoside
		LMPK12111262		6-Hydroxytricetin 6,3',5'-trimethyl ether 7-alpha-L-arabinosyl-(1->6)-glucoside
		LMPK12111140		Scutellarein 7,4'-dimethyl ether 6-xylosyl-(1->2)-glucoside
		LMPK12110998		Precatorin III
		LMPK12111180		6-Hydroxyluteolin 7-arabinopyranoside
		LMPK12111492		
		LMPK12111501		Agehoustin F
		LMPK12111538		Artelastin
		LMPK12111542		Karanjin
		LMPK12111579		Laurentinol
		LMPK12111679		Mauritianin
		LMPK12110971		Molludistin
		LMPK12110666		Luteolin 7-glucuronide-3'-glucoside
		LMPK12111299		Skullcapflavone I 2'-O-glucoside
		LMPK12111089		
		LMPK12111648		
		LMPK12111657		Galangin 3,7-dimethyl ether
		LMPK12111658		Galangin 5,7-dimethyl ether
		LMPK12112087		Quercetin 3-apiosyl-(1->2)-glucoside
		LMPK12111598		
		LMPK12112150		Quercetin 3-(6''-malonylglucoside)-7-rhamnoside
		LMPK12112196		Quercetin 3-xyloside-7-glucoside
		LMPK12112198		Quercetin 3-rhamnoside-7-alpha-L-arabinopyranoside
		LMPK12111686		Kaempferol 3-isorhamninoside-7-rhamnoside
		LMPK12111864		Kaempferol 3-rhamnoside-7-glucoside
		LMPK12112136		Quercetin 3-(2G-rhamnosylrutinoside)-7-glucoside
		LMPK12111836		6-C-Methylkaempferol 3-glucoside
		LMPK12112176		Quercetin 5-glucoside
		LMPK12112074		Quercetin 3-(3'',6''-diacetylgalactoside)
		LMPK12111826		Kaempferol 3,4'-diglucoside-7-(2''-ferulylglucoside)
		LMPK12111909		Kaempferol 3,5-diglucoside
		LMPK12112288		Broussoflavonol G
		LMPK12112293		
		LMPK12112505		6,8-Di-C-methylmyricetin 4'-methyl ether
		LMPK12112528		Chrysosplenol E
		LMPK12112561		8-Prenylkaempferol 3-rhamnosyl-(1->3)-[apiosyl-(1->6)-glucoside]
		LMPK12112699		
		LMPK12112744		
		LMPK12112791		Myricetin 3,3',4'-trimethyl ether
		LMPK12112871		Betuletol
		LMPK12112954		Patuletin 3-(4''-acetylrhamnoside)-7-(3''',4'''-diacetylrhamnoside)
		LMPK12112632		Rhamnazin 3-isorhamninoside
		LMPK12112328		Isorhamnetin 3-rhamnosyl-(1->2)-[rhamnosyl-(1->6)-galactoside]
		LMPK12112703		Quercetin 3-methyl ether 7-rhamnoside
		LMPK12112405		Tamarixin
		LMPK12112895		Patuletin 3,7-diglucoside
		LMPK12112818		6-Hydroxykaempferol 3,6-diglucoside
		LMPK12112987		Quercetagetin 7-methyl ether
		LMPK12113014		Quercetagetin 6,7,3'4'-tetramethyl ether
		LMPK12113216		Haploside C
		LMPK12113225		
		LMPK12113253		Gossypetin 3,5,8,3',4'-pentamethyl ether
		LMPK12113267		Gossypetin 3-O-sulfate
		LMPK12113338		
		LMPK12113358		
		LMPK12113377		
		LMPK12113379		
		LMPK12020124		Gallocatechin 3'-O-gallate
		LMPK12020177		Epiguibourtinidol-4beta-ol
		LMPK12020188		Epioritin-4beta-ol
		LMPK12020029		Afzelechin 3-O-alpha-L-rhamnopyranoside
		LMPK12112967		Quercetagetin 7-methyl ether 3-cellobioside
		LMPK12020265		Viscutin 1
		LMPK12113221		Gossypetin 8-glucuronide-3-sulfate
		LMPK12113213		Haploside A
		LMPK12050051		
		LMPK12050186		Eriotriochin
		LMPK12050187		Euchrenone b10
		LMPK12050206		4'-O-Prenylalpinumisoflavone
		LMPK12050302		Lupinisol B
		LMPK12050310		Parvisoflavone B
		LMPK12050357		
		LMPK12050364		Hemerocallone
		LMPK12050382		Isoaurmillone
		LMPK12050409		
		LMPK12080015		2'-O-Methylphaseollinisoflavan
		LMPK12070092		Apiocarpin
		LMPK12070145		Neoduleen
		LMPK12070150		Anhydrovariabilin
		LMPK12070159		
		LMPK12090008		Psoralidin oxide
		LMPK12020273		Dichotosinin
		LMPK12050011		Puerarin 4'-O-glucoside
		LMPK12050349		Prunetin 4'-O-glucoside
		LMPK12100034		
		LMPK12100076		(R)-3,4-Dimethoxydalbergione
		LMPK12010153		
		LMPK12010273		
		LMPK12010118		Cyanidin 3-neohesperidoside
		LMPK12010267		Delphinidin 3-robinobioside-5-(6-(E)-p-coumarylglucoside)
		LMPK12160612		Dihydroxybergamottin
		LMPK12160611		Bergamottin
		LMPK12140069		Ovaliflavanone C
		LMPK12140103		
		LMPK12020153		Elaeocyanidin
		LMPK12140179		Candidone
		LMPK12113155		Herbacetin 3,7-dimethyl ether
		LMPK15030014		5-nonacosylresorcinol
		LMPK12140156		Epilumaflavanone B
		LMPK12020288		catechin 3-dodecanoate
		LMPK03000086		Montalicin F
		LMPK12140175		Tephrowatsin C
		LMPK12130055		Hamiltrone
		LMPK12120033		Purpuritenin A
		LMPK12120076		Kanzonol B
		LMPK12120061		Bartericin A
		LMPK12120094		
		LMPK12130027		
		LMPK12120167		Okanin 4-methyl ether 3'-glucoside
		LMPK12120211		(+)-Tephropurpurin
		LMPK12120250		Isosalipurposide
		LMPK12120311		Gymnogrammene
		LMPK12120328		
		LMPK12120332		
		LMPK12120354		
		LMPK12120384		Tinosporinone
		LMPK12120388		Glyinflanin C
		LMPK12120420		Methylpedicinin
		LMPK12120457		Crotin (chalcone)
		LMPK12120475		Triuvaretin
		LMPK12120494		
		LMPK12120527		Calomelanol A
		LMPK12120576		
		LMPK12120613		(-)-Neolinderatin
		LMPK12120159		Okanin 4'-(4''-acetyl-6''-p-coumarylglucoside)
		LMPK12140297		Ugonin E
		LMPK12140324		2'',3''-Dihydroxylupinifolin
		LMPK12140325		Derriflavanone
		LMPK12140327		
		LMPK12140384		Isoamoritin
		LMPK12140398		Sigmoidin A
		LMPK12140423		Amoridin
		LMPK12140488		2'4'-Dihydroxy-5'-(1'',1''-dimethylallyl)-6-C-prenylpinocembrin
		LMPK12140495		Sanggenol A
		LMPK12140536		
		LMPK12140565		
		LMPK12140622		
		LMPK12140667		Isocarthamidin
		LMPK12140331		Matteucinol-7-O-[4'',6''-di-O-galloyl]-beta-D-glucopyranoside
		LMPK12140360		Eriodictyol 5-O-rhamnoside
		LMPK12140456		Peruvianoside I
		LMPK13070001		Myrtucommulone A
		LMPK12110177		Isounonal
		LMPK12111150		Hispidulin 7-rhamnoside
		LMPK12110012		Cauliflorin A
		LMPK12110045		
		LMPK12110087		
		LMPK12110415		Yinyanghuo D
		LMPK12110418		6-Methylapigenin
		LMPK12110242		Vicenin 3
		LMPK12110433		Cytisoside
		LMPK12110442		Cytisoside 3''-O-beta-D-rhamnopyranoside
		LMPK12112282		Broussonol B
		LMPK12110328		Isovitexin 7-O-beta-[6'''-O-(E)-p-feruloyl]glucoside
		LMPK12110277		Vitexin 2''-O-gallate
		LMPK12110284		Vitexin 7-O-sulfate
		LMPK12110350		Apigenin 4'-glucuronide
		LMPK12110348		Apigenin 7-(6''-ethylglucuronide)
		LMPK12110406		Apigenin 7-Glucuronosyl-(1->3)-[2''-p-coumaroylglucuronosyl)-(1->2)-glucuronide]
		LMPK12110221		3,8-Di-C-glucopyranosylapigenin
		LMPK12110462		Acacetin 7-apiosyl (1->6)-glucopyranoside
		LMPK12110212		6-C-Galactopyranosyl-8-C-xylopyranosylapigenin
		LMPK12110618		Apuleitrin
		LMPK12111578		Kanugin
		LMPK12111216		6-Hydroxyluteolin 7-xylosyl-(1->2)-xyloside
		LMPK12110204		6-C-beta-D-Xylopyranosyl-8-C-alpha-L-arabinopyranosylapigenin
		LMPK12110520		2''-O-alpha-L-Rhamnosyl-6-C-fucosyl-luteolin
		LMPK12110725		Demethyltorosaflavone D
		LMPK12110902		Cudraflavone C
		LMPK12110926		Australone A
		LMPK12110537		Orientin 7-O-rhamnoside
		LMPK12110557		Kaempferol 4'-methyl ether 3-neohesperidoside
		LMPK12110544		Isoorientin 4',2''-di-O-glucoside
		LMPK12110767		Luteolin 3'-methyl ether 5-glucoside
		LMPK12110554		Kaempferide 3,7-dirhamnoside
		LMPK12110493		Flavocannabiside
		LMPK12110610		Dillenetin 3,7-diglucoside
		LMPK12110843		Tricetin 3',5'-diglucoside
		LMPK12111283		Tabularin
		LMPK12111488		Scaposin
		LMPK12111525		Artonin S
		LMPK12110785		Luteolin 3'-methyl ether 7-malonylglucoside
		LMPK12111059		Linoside B
		LMPK12110853		Isopyrenin
		LMPK12110821		Diosmetin 7-Apiosyl-(1->2)-(6''-acetylglucoside)
		LMPK12111768		Kaempferol 3-rutinoside-7-rhamnoside
		LMPK12111778		Kaempferol 3-(2G-xylosylrutinoside)-7-glucoside
		LMPK12111827		Kaempferol 3-neohesperidoside-7-(2''-p-coumaryllaminaribioside)
		LMPK12111822		Kaempferol 3-neohesperidoside-7-(2''-p-coumarylglucoside)
		LMPK12111548		Resokaempferol 3-glucoside
		LMPK12111716		Epimedoside A
		LMPK12112259		Quercetin 3-(2'''-feruloylsophoroside)
		LMPK12112278		Quercetin 3-sulfate-7-alpha-arabinopyranoside
		LMPK12112369		Isorhamnetin 3-rhamnosyl-(1->2)-rhamnoside
		LMPK12112430		2'-C-Methylmyricetin 3-rhamnoside-5'-gallate
		LMPK12111693		Kaempferol 3-(6'''-caffeylglucosyl)-(1->2)-galactoside
		LMPK12111838		Ikarisoside E
		LMPK12111691		Kaempferol 3- (6''-p-coumarylgalactoside)
		LMPK12112530		
		LMPK12112596		Kaempferol 7,4'-dimethyl ether 3-O-sulfate
		LMPK12112410		Dillenetin 5-glucoside-7-glucuronide
		LMPK12112236		Quercetin 3-glucosyl-(1->2)-glucuronide
		LMPK12112114		Quercetin 3-(2G-rhamnosylgentiobioside)
		LMPK12112045		Quercetin 3-galactosyl-(1->4)-galactoside
		LMPK12112475		Laricitrin 3,7,5'-triglucoside
		LMPK12112650		Rhynchospermin
		LMPK12112683		Topazolin hydrate
		LMPK12112690		Kumatakenin
