HMDB	KEGG	LipidMaps	compoundName_HMDB	compoundName_LipidMaps
		LMFA03010233		11-deoxyprostaglandin E2 methyl ester
		LMFA03010234		11-deoxy-13,14-dihydro-15-keto-PGE2
		LMFA07060001		3-OH-C14-ACP
		LMFA11000249		13,17-Dimethyltritetracontane
		LMFA06000000		Fatty Aldehyde
		LMFA05000000		Fatty Alcohol
		LMFA03000027		TOG10
		LMFA03000028		FOG7
		LMFA13020005		15-(2'-O-beta-D-glucopyranosyl-beta-D-glucopyranosyloxy)hexadecanoic acid 1',4''-lactone 6',6''-diacetate
		LMFA11000245		13,17-Dimethylpentatetracontane
		LMFA07040128		10S-methyl-6R-dodecanolide
		LMFA01170150		13,14-dimethyloctacosanedioic acid
		LMFA01020436		sufac#1
		LMFA04030013		Resolvin D6i
		LMFA02010019		12-oxo-PDA-Ile
		LMFA13020006		16-(2'-O-beta-D-glucopyranosyl-beta-D-glucopyranosyloxy)hexadecanoic acid 1',4''-lactone 6',6''-diacetate
		LMFA10000009		11Z-etherolenic acid
		LMFA08040057		Palmitoyl-EA-d4
		LMFA03010177		15-deoxy-delta-12,14-PGJ2-d4
		LMFA03110012		(+/-) 5-iPF2alpha-VI-(d11)
		LMFA01010051		Lignoceric acid(d3)
		LMFA01010050		Behenic acid(d3)
		LMFA01010052		Cerotic acid(d3)
		LMFA01010048		Margaric acid(d3)
		LMFA01030809		Linoleic acid(d4)
		LMFA03010207		PGF2alpha-EA(d4)
		LMFA08040056		Anandamide-d4 (20:4, n-6)
		LMFA08040048		Oleoyl-EA(d2)
		LMFA08040046		Palmitoyl-EA(d4)
		LMFA08020390		Toporoside A
		LMFA08020391		Toporoside B
		LMFA03030011		11-dehydro-TXB2-d4
		LMFA01010049		Arachidic acid(d3)
		LMFA01010046		Palmitic acid(d3)
		LMFA03010006		PGF2alpha-d4
		LMFA01010043		Lauric acid(d3)
		LMFA08020139		N-arachidonoyl-dopamine-d8
		LMFA08020394		Melonoside A
		LMFA10000013		Montiporic acid A
		LMFA03010178		13,14-dihydro-15-keto-PGD2-d4
		LMFA08020392		Toporoside C
		LMFA08020393		Toporoside D
		LMFA01031178		Pantheric Acid B
		LMFA01170139		Pantheric Acid C
		LMFA01080035		(5Z,9Z)-2R-methoxy-25-methyl-hexacosadienoic acid
		LMFA03050031		12-KHT
		LMFA08020395		Melonosin A
		LMFA03010175		Tetranor-PGEM-d6
		LMFA03060081		12S-HETE-d8
		LMFA08020397		Melonosin B
		LMFA01030440		Nerolic acid
		LMFA01170042		Equisetolic acid
		LMFA10000014		Montiporic acid B
		LMFA08020396		Melonoside B
		LMFA01031240		Aurantoic acid
		LMFA01031236		anteiso-heptadeca-9,13-dienoic acid
		LMFA07040144		cucujolide XI
		LMFA07040145		Cucujolide X
		LMFA01031233		5E,7E,9E,14Z,17Z-eicosapentaenoic acid
		LMFA01060011		2-Keto-n-heptylic acid
		LMFA07040146		Odyssin
		LMFA13010033		Ustilagic acid
		LMFA07040147		Nemotin
		LMFA08020316		N-palmitoyl alpha,O-dimethyl tyrosine
		LMFA02020208		N-[9,10-Dihydrojasmonoyl]isoleucine
		LMFA02020211		N-jasmonoyl-L-dopa
		LMFA02020212		N-jasmonoyl-dopamine
		LMFA03010235		5E-PGB2
		LMFA03010236		(5E)-13,14-dihydro-PGB2
		LMFA03010237		13,14-dihydro-PGB2
		LMFA03010238		13,14-dihydro-PGB2 methyl ester
		LMFA01031237		3-Methyl-2Z,4E-decadienoic acid
		LMFA13030020		Dokdolipid A
		LMFA13030021		Dokdolipid B
		LMFA01031239		
		LMFA13010151		1-(O-6-O-methyl-beta-D-glucopyranose)-3,25,27-octacosanetriol
		LMFA13010053		Glucosyl 25-hydroxyhexacosanoate
		LMFA01020203		7-methyl-6E-hexadecenoic acid
		LMFA07040063		2-Hydroxy-24-keto-octacosanolide
		LMFA07040062		22-keto-26-Hexacosanolide
		LMFA03010081		17-phenyl-trinor-PGF2alpha
		LMFA01031241		40:6(22Z,25Z,28Z,28Z,31Z,37Z)
		LMFA01140034		Hormelic acid
		LMFA01031242		42:6(25Z,27Z,30Z,33Z,36Z,39Z)
		LMFA06000114		2-chloropalmitaldehyde
		LMFA08020049		N-(2-fluoro-ethyl)-eicosanoyl amine
		LMFA08020071		(+/-)N-(2-fluoro-ethyl)-2-methyl-5Z,8Z,11Z,14Z-tricosatetraenoyl amine
		LMFA08020069		(+/-)N-(2-fluoro-ethyl)-2,17,17-trimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine
		LMFA08020068		(+/-)N-(2-fluoro-ethyl)-2,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine
		LMFA08020067		(+/-)N-(2-fluoro-ethyl)-2,16,16-trimethyl-5Z,8Z,11Z,14Z-tricosatetraenoyl amine
		LMFA08020066		(+/-)N-(2-fluoro-ethyl)-2,16,16-trimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine
		LMFA08020070		(+/-)N-(2-fluoro-ethyl)-2,17-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine
		LMFA08020056		N-(2-fluoro-ethyl) 2-methyl-arachidonoyl amine
		LMFA07010327		14,14,14-Trifluoro-11E-tetradecenyl acetate
		LMFA07010328		14,14,14-Trifluoro-11Z-tetradecenyl acetate
		LMFA08020055		N-(2-fluoro-ethyl) arachidonoyl amine
		LMFA13010029		1-(O-alpha-D-glucopyranosyl)-27-keto-(1,3R,29R)-triacontanetriol
		LMFA13010009		1-(O-alpha-D-glucopyranosyl)-(1,3R,27R)-octaconsanetriol
		LMFA13010010		1-(O-alpha-D-glucopyranosyl)-(1,3R,25R)-hexacosanetriol
		LMFA13010028		1-(O-alpha-D-mannopyranosyl)-25-keto-(1,3R,27R)-octacosanetriol
