compoundName_HMDB	HMDB	KEGG	compoundName_LipidMaps	LipidMaps
L-Acetylcarnitine	HMDB0000201		Acetyl-L-carnitine	LMFA07070050
Methylmalonic acid	HMDB0000202	C02170	Methylmalonic acid	LMFA01170118
Phenylpyruvic acid	HMDB0000205	C00166		
N6-Acetyl-L-lysine	HMDB0000206	C02727		
Oleic acid	HMDB0000207	C00712	Oleic acid	LMFA01030002
Oxoglutaric acid	HMDB0000208	C00026		
Phenylacetic acid	HMDB0000209	C07086		
Pantothenic acid	HMDB0000210	C00864		
myo-Inositol	HMDB0000211	C00137		
N-Acetylgalactosamine	HMDB0000212	C01074		
myo-Inositol 1-phosphate	HMDB0000213	C01177		
Ornithine	HMDB0000214	C00077		
N-Acetyl-D-glucosamine	HMDB0000215	C00140		
Norepinephrine	HMDB0000216	C00547		
NADP	HMDB0000217	C00006		
Orotidylic acid	HMDB0000218	C01103		
Palmitic acid	HMDB0000220	C00249	Palmitic acid	LMFA01010001
NADPH	HMDB0000221	C00005		
Palmitoylcarnitine	HMDB0000222	C02990	Palmitoylcarnitine	LMFA07070004
Oxalacetic acid	HMDB0000223	C00036	Oxalacetic acid	LMFA01170120
O-Phosphoethanolamine	HMDB0000224	C00346		
Oxoadipic acid	HMDB0000225	C00322	Oxoadipic acid	LMFA01170121
Orotic acid	HMDB0000226	C00295		
Mevalonic acid	HMDB0000227	C00418		
Phenol	HMDB0000228	C15584		
Nicotinamide ribotide	HMDB0000229	C00455		
N-Acetylneuraminic acid	HMDB0000230	C19910		
Quinolinic acid	HMDB0000232	C03722		
Testosterone	HMDB0000234	C00535	Testosterone	LMST02020002
	HMDB0000234		Epitestosterone	LMST02020051
Thiamine	HMDB0000235	C00378		
Propionic acid	HMDB0000237	C00163	Propionic acid	LMFA01010003
Sepiapterin	HMDB0000238	C00835		
Pyridoxine	HMDB0000239	C00314		
Sulfite	HMDB0000240	C00094		
Protoporphyrin IX	HMDB0000241	C02191		
Pyruvic acid	HMDB0000243	C00022	Pyruvic acid	LMFA01060077
Riboflavin	HMDB0000244	C00255		
Porphobilinogen	HMDB0000245	C00931		
Tetrahydrofuran	HMDB0000246			
Sorbitol	HMDB0000247	C00794		
Thyroxine	HMDB0000248	C01829		
Pyrophosphate	HMDB0000250	C00013		
Taurine	HMDB0000251	C00245		
Sphingosine	HMDB0000252	C00319		
Pregnenolone	HMDB0000253	C01953	Pregnenolone	LMST02030088
Succinic acid	HMDB0000254	C00042	Succinic acid	LMFA01170043
Squalene	HMDB0000256	C00751		
Thiosulfate	HMDB0000257	C05529		
Sucrose	HMDB0000258	C00089		
Serotonin	HMDB0000259	C00780		
Thymine	HMDB0000262	C00178		
Phosphoenolpyruvic acid	HMDB0000263	C00074		
Liothyronine	HMDB0000265	C02465		
Pyroglutamic acid	HMDB0000267	C01879		
Tetrahydrocorticosterone	HMDB0000268	C05476		
Sphinganine	HMDB0000269	C00836	Sphinganine	LMSP01020001
Sarcosine	HMDB0000271	C00213		
Phosphoserine	HMDB0000272	C01005		
Thymidine	HMDB0000273	C00214		
Sphingosine 1-phosphate	HMDB0000277	C06124	Sphingosine-1-phosphate	LMSP01050001
Saccharopine	HMDB0000279	C00449		
Phosphoribosyl pyrophosphate	HMDB0000280	C00119		
D-Ribose	HMDB0000283	C00121		
Uridine triphosphate	HMDB0000285	C00075		
Uridine diphosphate glucose	HMDB0000286	C00029		
Uridine 5'-monophosphate	HMDB0000288	C00105		
Uric acid	HMDB0000289	C00366		
Uridine diphosphate-N-acetylglucosamine	HMDB0000290	C00043		
Vanillylmandelic acid	HMDB0000291	C05584		
Xanthine	HMDB0000292	C00385		
Xanthosine 5-triphosphate	HMDB0000293	C00700		
Urea	HMDB0000294	C00086		
Uridine 5'-diphosphate	HMDB0000295	C00015		
Uridine	HMDB0000296	C00299		
Xanthosine	HMDB0000299	C01762		
Uracil	HMDB0000300	C00106		
Urocanic acid	HMDB0000301	C00785		
Uridine diphosphategalactose	HMDB0000302	C00052		
Tryptamine	HMDB0000303	C00398		
Uridine diphosphate-N-acetylgalactosamine	HMDB0000304			
	HMDB0000305	C00473	Retinol	LMPR01090001
Vitamin A	HMDB0000305	C17276		
	HMDB0000305		13-cis-retinol	LMPR01090011
Tyramine	HMDB0000306	C00483		
1beta-Hydroxycholic acid	HMDB0000307			LMST04010114
3b-Hydroxy-5-cholenoic acid	HMDB0000308		Cholenic Acid	LMST04010201
3alpha,16beta-Dihydroxyandrostenone	HMDB0000309			
Methylacetoacetic acid	HMDB0000310			
3b,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid	HMDB0000311			LMST04010117
3alpha,7alpha,12beta-Trihydroxy-5beta-cholanoic acid	HMDB0000312		Lagocholic Acid	LMST04010085
16b-Hydroxyestrone	HMDB0000313	C05300		
	HMDB0000313		16b-Hydroxyestrone	LMST02010046
3b-Allotetrahydrocortisol	HMDB0000314			
	HMDB0000315	C06390	16alpha-hydroxypregnenolone	LMST02030172
16-a-Hydroxypregnenolone	HMDB0000315	C06390  		
2b,3a,7a,12a-Tetrahydroxy-5b-cholanoic acid	HMDB0000316			
2-Hydroxy-3-methylpentanoic acid	HMDB0000317		2-hydroxy-3-methyl-pentanoic acid	LMFA01050380
3,4-Dihydroxyphenylglycol	HMDB0000318	C05576		
18-Hydroxycorticosterone	HMDB0000319	C01124	18-Hydroxycorticosterone	LMST02030091
3a,4b,7a-Trihydroxy-5b-cholanoic acid	HMDB0000320			
2-Hydroxyadipic acid	HMDB0000321	C02360	2-Hydroxyadipic acid	LMFA01170049
16-Oxoandrostenediol	HMDB0000322			
3-Amino-2-piperidone	HMDB0000323			
3alpha,16alpha-Dihydroxyandrostenone	HMDB0000324			
3-Hydroxysuberic acid	HMDB0000325		3-hydroxy-suberic acid	LMFA01170093
1b,3a,12a-Trihydroxy-5b-cholanoic acid	HMDB0000326			
12-Ketodeoxycholic acid	HMDB0000328		12-Ketolithocholic acid	LMST04010155
2-Phenylbutyric acid	HMDB0000329			
3a,4b,12a-Trihydroxy-5b-cholanoic acid	HMDB0000330			
3a,7b,12a-Trihydroxyoxocholanyl-Glycine	HMDB0000331		3a,7b,12a-Trihydroxyoxocholanyl-Glycine	LMST05030007
18-Oxocortisol	HMDB0000332		18-Oxocortisol	LMST02030194
Isohomovanillic acid	HMDB0000333			
16a-Hydroxyestrone	HMDB0000335	C05300	16alpha-hydroxyestrone	LMST02010041
(R)-3-Hydroxyisobutyric acid	HMDB0000336		3R-hydroxy-isobutyric acid	LMFA01050382
(S)-3,4-Dihydroxybutyric acid	HMDB0000337		(S)-3,4-Dihydroxybutyric acid	LMFA01050461
2-Hydroxyestradiol	HMDB0000338	C05301	2-hydroxyestradiol	LMST02010027
2-Methylbutyrylglycine	HMDB0000339			
