compoundName_HMDB	HMDB	KEGG	compoundName_LipidMaps	LipidMaps
TG(i-14:0/10:0/i-15:0)	HMDB0099249			
TG(i-14:0/10:0/a-15:0)[rac]	HMDB0099250			
TG(i-14:0/10:0/15:0)	HMDB0099251			
TG(14:0/10:0/15:0)	HMDB0099252			
TG(14:0/10:0/i-15:0)	HMDB0099253			
TG(14:0/10:0/a-15:0)[rac]	HMDB0099254			
TG(i-14:0/10:0/i-16:0)	HMDB0099255			
TG(i-14:0/10:0/16:0)	HMDB0099256			
TG(14:0/10:0/16:0)	HMDB0099257			
TG(14:0/10:0/i-16:0)	HMDB0099258			
TG(i-14:0/10:0/i-17:0)	HMDB0099259			
TG(i-14:0/10:0/a-17:0)[rac]	HMDB0099260			
TG(i-14:0/10:0/17:0)	HMDB0099261			
TG(14:0/10:0/17:0)	HMDB0099262			
TG(14:0/10:0/i-17:0)	HMDB0099263			
TG(14:0/10:0/a-17:0)[rac]	HMDB0099264			
TG(i-14:0/10:0/i-18:0)	HMDB0099265			
TG(i-14:0/10:0/18:0)	HMDB0099266			
TG(14:0/10:0/18:0)	HMDB0099267			
TG(14:0/10:0/i-18:0)	HMDB0099268			
TG(i-14:0/10:0/i-19:0)	HMDB0099269			
TG(i-14:0/10:0/19:0)	HMDB0099270			
TG(14:0/10:0/19:0)	HMDB0099271			
TG(14:0/10:0/i-19:0)	HMDB0099272			
TG(i-14:0/10:0/i-20:0)	HMDB0099273			
TG(i-14:0/10:0/20:0)	HMDB0099274			
TG(14:0/10:0/20:0)	HMDB0099275			
TG(14:0/10:0/i-20:0)	HMDB0099276			
TG(i-14:0/10:0/i-21:0)	HMDB0099277			
TG(i-14:0/10:0/a-21:0)[rac]	HMDB0099278			
TG(i-14:0/10:0/21:0)	HMDB0099279			
TG(14:0/10:0/21:0)	HMDB0099280			
TG(14:0/10:0/i-21:0)	HMDB0099281			
TG(14:0/10:0/a-21:0)[rac]	HMDB0099282			
TG(i-14:0/10:0/i-22:0)	HMDB0099283			
TG(i-14:0/10:0/22:0)	HMDB0099284			
TG(14:0/10:0/22:0)	HMDB0099285			
TG(14:0/10:0/i-22:0)	HMDB0099286			
TG(i-14:0/10:0/i-24:0)	HMDB0099287			
TG(14:0/10:0/i-24:0)	HMDB0099288			
TG(i-14:0/10:0/a-25:0)[rac]	HMDB0099289			
TG(14:0/10:0/a-25:0)[rac]	HMDB0099290			
TG(14:0/i-12:0/8:0)	HMDB0099291			
TG(i-14:0/i-12:0/8:0)	HMDB0099292			
TG(i-14:0/12:0/8:0)	HMDB0099293			
TG(14:0/12:0/8:0)	HMDB0099294			
TG(14:0/i-12:0/10:0)	HMDB0099295			
TG(i-14:0/i-12:0/10:0)	HMDB0099296			
TG(i-14:0/12:0/10:0)	HMDB0099297			
TG(14:0/12:0/10:0)	HMDB0099298			
TG(14:0/i-12:0/12:0)	HMDB0099299			
TG(i-14:0/12:0/i-12:0)	HMDB0099300			
TG(14:0/i-12:0/i-12:0)	HMDB0099301			
TG(i-14:0/i-12:0/12:0)	HMDB0099302			
TG(i-14:0/i-12:0/i-12:0)	HMDB0099303			
TG(i-14:0/12:0/12:0)	HMDB0099304			
TG(14:0/12:0/12:0)	HMDB0099305		TG(12:0/12:0/14:0)[iso3]	LMGL03012628
TG(14:0/12:0/i-12:0)	HMDB0099306			
TG(14:0/i-12:0/13:0)	HMDB0099307			
TG(i-14:0/12:0/i-13:0)	HMDB0099308			
TG(i-14:0/i-12:0/a-13:0)[rac]	HMDB0099309			
TG(14:0/i-12:0/a-13:0)[rac]	HMDB0099310			
TG(14:0/i-12:0/i-13:0)	HMDB0099311			
TG(i-14:0/i-12:0/13:0)	HMDB0099312			
TG(i-14:0/12:0/a-13:0)[rac]	HMDB0099313			
TG(i-14:0/i-12:0/i-13:0)	HMDB0099314			
TG(i-14:0/12:0/13:0)	HMDB0099315			
TG(14:0/12:0/13:0)	HMDB0099316			
TG(14:0/12:0/i-13:0)	HMDB0099317			
TG(14:0/12:0/a-13:0)[rac]	HMDB0099318			
TG(14:0/14:0/i-12:0)	HMDB0099319			
TG(i-14:0/i-14:0/12:0)	HMDB0099320			
TG(14:0/i-12:0/i-14:0)	HMDB0099321			
TG(i-14:0/i-12:0/14:0)	HMDB0099322			
TG(i-14:0/i-14:0/i-12:0)	HMDB0099323			
TG(i-14:0/12:0/14:0)	HMDB0099324			
TG(14:0/14:0/12:0)	HMDB0099325		TG(12:0/14:0/14:0)[iso3]	LMGL03012660
TG(14:0/12:0/i-14:0)	HMDB0099326			
TG(14:0/i-12:0/15:0)	HMDB0099327			
TG(i-14:0/12:0/i-15:0)	HMDB0099328			
TG(i-14:0/i-12:0/a-15:0)[rac]	HMDB0099329			
TG(14:0/i-12:0/a-15:0)[rac]	HMDB0099330			
TG(14:0/i-12:0/i-15:0)	HMDB0099331			
TG(i-14:0/i-12:0/15:0)	HMDB0099332			
TG(i-14:0/12:0/a-15:0)[rac]	HMDB0099333			
TG(i-14:0/i-12:0/i-15:0)	HMDB0099334			
TG(i-14:0/12:0/15:0)	HMDB0099335			
TG(14:0/12:0/15:0)	HMDB0099336			
TG(14:0/12:0/i-15:0)	HMDB0099337			
TG(14:0/12:0/a-15:0)[rac]	HMDB0099338			
TG(14:0/i-12:0/16:0)	HMDB0099339			
TG(i-14:0/12:0/i-16:0)	HMDB0099340			
TG(14:0/i-12:0/i-16:0)	HMDB0099341			
TG(i-14:0/i-12:0/16:0)	HMDB0099342			
TG(i-14:0/i-12:0/i-16:0)	HMDB0099343			
TG(i-14:0/12:0/16:0)	HMDB0099344			
TG(14:0/12:0/16:0)	HMDB0099345			
TG(14:0/12:0/i-16:0)	HMDB0099346			
TG(14:0/i-12:0/17:0)	HMDB0099347			
TG(i-14:0/12:0/i-17:0)	HMDB0099348			
TG(i-14:0/i-12:0/a-17:0)[rac]	HMDB0099349			
TG(14:0/i-12:0/a-17:0)[rac]	HMDB0099350			
TG(14:0/i-12:0/i-17:0)	HMDB0099351			
TG(i-14:0/i-12:0/17:0)	HMDB0099352			
TG(i-14:0/12:0/a-17:0)[rac]	HMDB0099353			
TG(i-14:0/i-12:0/i-17:0)	HMDB0099354			
TG(i-14:0/12:0/17:0)	HMDB0099355			
TG(14:0/12:0/17:0)	HMDB0099356			
TG(14:0/12:0/i-17:0)	HMDB0099357			
TG(14:0/12:0/a-17:0)[rac]	HMDB0099358			
TG(14:0/i-12:0/18:0)	HMDB0099359			
TG(i-14:0/12:0/i-18:0)	HMDB0099360			
TG(14:0/i-12:0/i-18:0)	HMDB0099361			
TG(i-14:0/i-12:0/18:0)	HMDB0099362			
TG(i-14:0/i-12:0/i-18:0)	HMDB0099363			
TG(i-14:0/12:0/18:0)	HMDB0099364			
TG(14:0/12:0/18:0)	HMDB0099365			
TG(14:0/12:0/i-18:0)	HMDB0099366			
TG(14:0/i-12:0/19:0)	HMDB0099367			
TG(i-14:0/12:0/i-19:0)	HMDB0099368			
TG(14:0/i-12:0/i-19:0)	HMDB0099369			
TG(i-14:0/i-12:0/19:0)	HMDB0099370			
TG(i-14:0/i-12:0/i-19:0)	HMDB0099371			
TG(i-14:0/12:0/19:0)	HMDB0099372			
TG(14:0/12:0/19:0)	HMDB0099373			
TG(14:0/12:0/i-19:0)	HMDB0099374			
TG(14:0/i-12:0/20:0)	HMDB0099375			
TG(i-14:0/12:0/i-20:0)	HMDB0099376			
TG(14:0/i-12:0/i-20:0)	HMDB0099377			
TG(i-14:0/i-12:0/20:0)	HMDB0099378			
TG(i-14:0/i-12:0/i-20:0)	HMDB0099379			
TG(i-14:0/12:0/20:0)	HMDB0099380			
TG(14:0/12:0/20:0)	HMDB0099381			
TG(14:0/12:0/i-20:0)	HMDB0099382			
TG(14:0/i-12:0/21:0)	HMDB0099383			
TG(i-14:0/12:0/i-21:0)	HMDB0099384			
TG(i-14:0/i-12:0/a-21:0)[rac]	HMDB0099385			
TG(14:0/i-12:0/a-21:0)[rac]	HMDB0099386			
TG(14:0/i-12:0/i-21:0)	HMDB0099387			
TG(i-14:0/i-12:0/21:0)	HMDB0099388			
TG(i-14:0/12:0/a-21:0)[rac]	HMDB0099389			
TG(i-14:0/i-12:0/i-21:0)	HMDB0099390			
TG(i-14:0/12:0/21:0)	HMDB0099391			
TG(14:0/12:0/21:0)	HMDB0099392			
TG(14:0/12:0/i-21:0)	HMDB0099393			
TG(14:0/12:0/a-21:0)[rac]	HMDB0099394			
TG(14:0/i-12:0/22:0)	HMDB0099395			
TG(i-14:0/12:0/i-22:0)	HMDB0099396			
TG(14:0/i-12:0/i-22:0)	HMDB0099397			
TG(i-14:0/i-12:0/22:0)	HMDB0099398			
TG(i-14:0/i-12:0/i-22:0)	HMDB0099399			
TG(i-14:0/12:0/22:0)	HMDB0099400			
TG(14:0/12:0/22:0)	HMDB0099401			
TG(14:0/12:0/i-22:0)	HMDB0099402			
TG(i-14:0/12:0/i-24:0)	HMDB0099403			
TG(14:0/i-12:0/i-24:0)	HMDB0099404			
TG(i-14:0/i-12:0/i-24:0)	HMDB0099405			
TG(14:0/12:0/i-24:0)	HMDB0099406			
TG(i-14:0/i-12:0/a-25:0)[rac]	HMDB0099407			
TG(14:0/i-12:0/a-25:0)[rac]	HMDB0099408			
TG(i-14:0/12:0/a-25:0)[rac]	HMDB0099409			
TG(14:0/12:0/a-25:0)[rac]	HMDB0099410			
TG(14:0/a-13:0/8:0)[rac]	HMDB0099411			
TG(i-14:0/a-13:0/8:0)[rac]	HMDB0099412			
TG(14:0/i-13:0/8:0)	HMDB0099413			
TG(i-14:0/i-13:0/8:0)	HMDB0099414			
TG(i-14:0/13:0/8:0)	HMDB0099415			
TG(14:0/13:0/8:0)	HMDB0099416			
TG(14:0/a-13:0/10:0)[rac]	HMDB0099417			
TG(i-14:0/a-13:0/10:0)[rac]	HMDB0099418			
TG(14:0/i-13:0/10:0)	HMDB0099419			
TG(i-14:0/i-13:0/10:0)	HMDB0099420			
TG(i-14:0/13:0/10:0)	HMDB0099421			
TG(14:0/13:0/10:0)	HMDB0099422			
TG(i-14:0/a-13:0/i-12:0)[rac]	HMDB0099423			
TG(14:0/a-13:0/12:0)[rac]	HMDB0099424			
TG(i-14:0/a-13:0/12:0)[rac]	HMDB0099425			
TG(14:0/a-13:0/i-12:0)[rac]	HMDB0099426			
TG(14:0/i-13:0/12:0)	HMDB0099427			
TG(i-14:0/13:0/i-12:0)	HMDB0099428			
TG(14:0/i-13:0/i-12:0)	HMDB0099429			
TG(i-14:0/i-13:0/12:0)	HMDB0099430			
TG(i-14:0/i-13:0/i-12:0)	HMDB0099431			
TG(i-14:0/13:0/12:0)	HMDB0099432			
TG(14:0/13:0/12:0)	HMDB0099433		TG(12:0/13:0/14:0)[iso6]	LMGL03013177
TG(14:0/13:0/i-12:0)	HMDB0099434			
TG(14:0/a-13:0/a-13:0)[rac]	HMDB0099435			
TG(i-14:0/a-13:0/a-13:0)[rac]	HMDB0099436			
TG(i-14:0/a-13:0/i-13:0)[rac]	HMDB0099437			
TG(14:0/a-13:0/13:0)[rac]	HMDB0099438			
TG(i-14:0/a-13:0/13:0)[rac]	HMDB0099439			
TG(14:0/a-13:0/i-13:0)[rac]	HMDB0099440			
TG(14:0/i-13:0/13:0)	HMDB0099441			
TG(i-14:0/13:0/i-13:0)	HMDB0099442			
TG(i-14:0/i-13:0/a-13:0)[rac]	HMDB0099443			
TG(14:0/i-13:0/a-13:0)[rac]	HMDB0099444			
TG(14:0/i-13:0/i-13:0)	HMDB0099445			
TG(i-14:0/i-13:0/13:0)	HMDB0099446			
TG(i-14:0/13:0/a-13:0)[rac]	HMDB0099447			
TG(i-14:0/i-13:0/i-13:0)	HMDB0099448			
TG(i-14:0/13:0/13:0)	HMDB0099449			
TG(14:0/13:0/13:0)	HMDB0099450		TG(13:0/13:0/14:0)[iso3]	LMGL03012691
TG(14:0/13:0/i-13:0)	HMDB0099451			
TG(14:0/13:0/a-13:0)[rac]	HMDB0099452			
TG(i-14:0/i-14:0/a-13:0)[rac]	HMDB0099453			
TG(14:0/14:0/a-13:0)[rac]	HMDB0099454			
TG(i-14:0/a-13:0/14:0)[rac]	HMDB0099455			
TG(14:0/a-13:0/i-14:0)[rac]	HMDB0099456			
TG(14:0/14:0/i-13:0)	HMDB0099457			
TG(i-14:0/i-14:0/13:0)	HMDB0099458			
TG(14:0/i-13:0/i-14:0)	HMDB0099459			
TG(i-14:0/i-13:0/14:0)	HMDB0099460			
TG(i-14:0/i-14:0/i-13:0)	HMDB0099461			
TG(i-14:0/13:0/14:0)	HMDB0099462			
TG(14:0/14:0/13:0)	HMDB0099463		TG(13:0/14:0/14:0)[iso3]	LMGL03012722
TG(14:0/13:0/i-14:0)	HMDB0099464			
TG(14:0/a-13:0/a-15:0)[rac]	HMDB0099465			
TG(i-14:0/a-13:0/a-15:0)[rac]	HMDB0099466			
TG(i-14:0/a-13:0/i-15:0)[rac]	HMDB0099467			
TG(14:0/a-13:0/15:0)[rac]	HMDB0099468			
TG(i-14:0/a-13:0/15:0)[rac]	HMDB0099469			
TG(14:0/a-13:0/i-15:0)[rac]	HMDB0099470			
TG(14:0/i-13:0/15:0)	HMDB0099471			
TG(i-14:0/13:0/i-15:0)	HMDB0099472			
TG(i-14:0/i-13:0/a-15:0)[rac]	HMDB0099473			
TG(14:0/i-13:0/a-15:0)[rac]	HMDB0099474			
TG(14:0/i-13:0/i-15:0)	HMDB0099475			
TG(i-14:0/i-13:0/15:0)	HMDB0099476			
TG(i-14:0/13:0/a-15:0)[rac]	HMDB0099477			
TG(i-14:0/i-13:0/i-15:0)	HMDB0099478			
TG(i-14:0/13:0/15:0)	HMDB0099479			
TG(14:0/13:0/15:0)	HMDB0099480			
TG(14:0/13:0/i-15:0)	HMDB0099481			
TG(14:0/13:0/a-15:0)[rac]	HMDB0099482			
TG(i-14:0/a-13:0/i-16:0)[rac]	HMDB0099483			
TG(14:0/a-13:0/16:0)[rac]	HMDB0099484			
TG(i-14:0/a-13:0/16:0)[rac]	HMDB0099485			
TG(14:0/a-13:0/i-16:0)[rac]	HMDB0099486			
TG(14:0/i-13:0/16:0)	HMDB0099487			
TG(i-14:0/13:0/i-16:0)	HMDB0099488			
TG(14:0/i-13:0/i-16:0)	HMDB0099489			
TG(i-14:0/i-13:0/16:0)	HMDB0099490			
TG(i-14:0/i-13:0/i-16:0)	HMDB0099491			
TG(i-14:0/13:0/16:0)	HMDB0099492			
TG(14:0/13:0/16:0)	HMDB0099493			
TG(14:0/13:0/i-16:0)	HMDB0099494			
TG(14:0/a-13:0/a-17:0)[rac]	HMDB0099495			
TG(i-14:0/a-13:0/a-17:0)[rac]	HMDB0099496			
TG(i-14:0/a-13:0/i-17:0)[rac]	HMDB0099497			
TG(14:0/a-13:0/17:0)[rac]	HMDB0099498			
TG(i-14:0/a-13:0/17:0)[rac]	HMDB0099499			
TG(14:0/a-13:0/i-17:0)[rac]	HMDB0099500			
TG(14:0/i-13:0/17:0)	HMDB0099501			
TG(i-14:0/13:0/i-17:0)	HMDB0099502			
TG(i-14:0/i-13:0/a-17:0)[rac]	HMDB0099503			
TG(14:0/i-13:0/a-17:0)[rac]	HMDB0099504			
TG(14:0/i-13:0/i-17:0)	HMDB0099505			
TG(i-14:0/i-13:0/17:0)	HMDB0099506			
TG(i-14:0/13:0/a-17:0)[rac]	HMDB0099507			
TG(i-14:0/i-13:0/i-17:0)	HMDB0099508			
TG(i-14:0/13:0/17:0)	HMDB0099509			
TG(14:0/13:0/17:0)	HMDB0099510			
TG(14:0/13:0/i-17:0)	HMDB0099511			
TG(14:0/13:0/a-17:0)[rac]	HMDB0099512			
TG(i-14:0/a-13:0/i-18:0)[rac]	HMDB0099513			
TG(14:0/a-13:0/18:0)[rac]	HMDB0099514			
TG(i-14:0/a-13:0/18:0)[rac]	HMDB0099515			
TG(14:0/a-13:0/i-18:0)[rac]	HMDB0099516			
TG(14:0/i-13:0/18:0)	HMDB0099517			
TG(i-14:0/13:0/i-18:0)	HMDB0099518			
TG(14:0/i-13:0/i-18:0)	HMDB0099519			
TG(i-14:0/i-13:0/18:0)	HMDB0099520			
TG(i-14:0/i-13:0/i-18:0)	HMDB0099521			
TG(i-14:0/13:0/18:0)	HMDB0099522			
TG(14:0/13:0/18:0)	HMDB0099523			
TG(14:0/13:0/i-18:0)	HMDB0099524			
TG(i-14:0/a-13:0/i-19:0)[rac]	HMDB0099525			
TG(14:0/a-13:0/19:0)[rac]	HMDB0099526			
TG(i-14:0/a-13:0/19:0)[rac]	HMDB0099527			
TG(14:0/a-13:0/i-19:0)[rac]	HMDB0099528			
TG(14:0/i-13:0/19:0)	HMDB0099529			
TG(i-14:0/13:0/i-19:0)	HMDB0099530			
TG(14:0/i-13:0/i-19:0)	HMDB0099531			
TG(i-14:0/i-13:0/19:0)	HMDB0099532			
TG(i-14:0/i-13:0/i-19:0)	HMDB0099533			
TG(i-14:0/13:0/19:0)	HMDB0099534			
TG(14:0/13:0/19:0)	HMDB0099535			
TG(14:0/13:0/i-19:0)	HMDB0099536			
TG(i-14:0/a-13:0/i-20:0)[rac]	HMDB0099537			
TG(14:0/a-13:0/20:0)[rac]	HMDB0099538			
TG(i-14:0/a-13:0/20:0)[rac]	HMDB0099539			
TG(14:0/a-13:0/i-20:0)[rac]	HMDB0099540			
TG(14:0/i-13:0/20:0)	HMDB0099541			
TG(i-14:0/13:0/i-20:0)	HMDB0099542			
TG(14:0/i-13:0/i-20:0)	HMDB0099543			
TG(i-14:0/i-13:0/20:0)	HMDB0099544			
TG(i-14:0/i-13:0/i-20:0)	HMDB0099545			
TG(i-14:0/13:0/20:0)	HMDB0099546			
TG(14:0/13:0/20:0)	HMDB0099547			
TG(14:0/13:0/i-20:0)	HMDB0099548			
TG(14:0/a-13:0/a-21:0)[rac]	HMDB0099549			
TG(i-14:0/a-13:0/a-21:0)[rac]	HMDB0099550			
TG(i-14:0/a-13:0/i-21:0)[rac]	HMDB0099551			
TG(14:0/a-13:0/21:0)[rac]	HMDB0099552			
TG(i-14:0/a-13:0/21:0)[rac]	HMDB0099553			
TG(14:0/a-13:0/i-21:0)[rac]	HMDB0099554			
TG(14:0/i-13:0/21:0)	HMDB0099555			
TG(i-14:0/13:0/i-21:0)	HMDB0099556			
TG(i-14:0/i-13:0/a-21:0)[rac]	HMDB0099557			
TG(14:0/i-13:0/a-21:0)[rac]	HMDB0099558			
TG(14:0/i-13:0/i-21:0)	HMDB0099559			
TG(i-14:0/i-13:0/21:0)	HMDB0099560			
TG(i-14:0/13:0/a-21:0)[rac]	HMDB0099561			
TG(i-14:0/i-13:0/i-21:0)	HMDB0099562			
TG(i-14:0/13:0/21:0)	HMDB0099563			
TG(14:0/13:0/21:0)	HMDB0099564			
TG(14:0/13:0/i-21:0)	HMDB0099565			
TG(14:0/13:0/a-21:0)[rac]	HMDB0099566			
TG(i-14:0/a-13:0/i-22:0)[rac]	HMDB0099567			
TG(14:0/a-13:0/22:0)[rac]	HMDB0099568			
TG(i-14:0/a-13:0/22:0)[rac]	HMDB0099569			
TG(14:0/a-13:0/i-22:0)[rac]	HMDB0099570			
TG(14:0/i-13:0/22:0)	HMDB0099571			
TG(i-14:0/13:0/i-22:0)	HMDB0099572			
TG(14:0/i-13:0/i-22:0)	HMDB0099573			
TG(i-14:0/i-13:0/22:0)	HMDB0099574			
TG(i-14:0/i-13:0/i-22:0)	HMDB0099575			
TG(i-14:0/13:0/22:0)	HMDB0099576			
TG(14:0/13:0/22:0)	HMDB0099577			
TG(14:0/13:0/i-22:0)	HMDB0099578			
TG(i-14:0/a-13:0/i-24:0)[rac]	HMDB0099579			
TG(14:0/a-13:0/i-24:0)[rac]	HMDB0099580			
TG(i-14:0/13:0/i-24:0)	HMDB0099581			
TG(14:0/i-13:0/i-24:0)	HMDB0099582			
TG(i-14:0/i-13:0/i-24:0)	HMDB0099583			
TG(14:0/13:0/i-24:0)	HMDB0099584			
TG(14:0/a-13:0/a-25:0)[rac]	HMDB0099585			
TG(i-14:0/a-13:0/a-25:0)[rac]	HMDB0099586			
TG(i-14:0/i-13:0/a-25:0)[rac]	HMDB0099587			
TG(14:0/i-13:0/a-25:0)[rac]	HMDB0099588			
TG(i-14:0/13:0/a-25:0)[rac]	HMDB0099589			
TG(14:0/13:0/a-25:0)[rac]	HMDB0099590			
TG(14:0/i-14:0/8:0)	HMDB0099591			
TG(i-14:0/14:0/8:0)	HMDB0099592			
TG(14:0/i-14:0/10:0)	HMDB0099593			
TG(i-14:0/14:0/10:0)	HMDB0099594			
TG(14:0/i-14:0/12:0)	HMDB0099595			
TG(i-14:0/14:0/i-12:0)	HMDB0099596			
TG(14:0/i-14:0/i-12:0)	HMDB0099597			
TG(i-14:0/14:0/12:0)	HMDB0099598			
TG(14:0/i-14:0/13:0)	HMDB0099599			
TG(i-14:0/14:0/i-13:0)	HMDB0099600			
TG(14:0/i-14:0/a-13:0)[rac]	HMDB0099601			
TG(14:0/i-14:0/i-13:0)	HMDB0099602			
TG(i-14:0/14:0/a-13:0)[rac]	HMDB0099603			
TG(i-14:0/14:0/13:0)	HMDB0099604			
TG(14:0/14:0/i-14:0)	HMDB0099605			
TG(i-14:0/i-14:0/14:0)	HMDB0099606			
TG(14:0/i-14:0/i-14:0)	HMDB0099607			
TG(i-14:0/i-14:0/i-14:0)	HMDB0099608			
TG(i-14:0/14:0/14:0)	HMDB0099609			
TG(14:0/i-14:0/15:0)	HMDB0099610			
TG(i-14:0/14:0/i-15:0)	HMDB0099611			
TG(i-14:0/i-14:0/a-15:0)[rac]	HMDB0099612			
TG(14:0/i-14:0/a-15:0)[rac]	HMDB0099613			
TG(14:0/i-14:0/i-15:0)	HMDB0099614			
TG(i-14:0/i-14:0/15:0)	HMDB0099615			
TG(i-14:0/14:0/a-15:0)[rac]	HMDB0099616			
TG(i-14:0/i-14:0/i-15:0)	HMDB0099617			
TG(i-14:0/14:0/15:0)	HMDB0099618			
TG(14:0/14:0/i-15:0)	HMDB0099619			
TG(14:0/14:0/a-15:0)[rac]	HMDB0099620			
TG(14:0/i-14:0/16:0)	HMDB0099621			
TG(i-14:0/14:0/i-16:0)	HMDB0099622			
TG(14:0/i-14:0/i-16:0)	HMDB0099623			
TG(i-14:0/i-14:0/16:0)	HMDB0099624			
TG(i-14:0/i-14:0/i-16:0)	HMDB0099625			
TG(i-14:0/14:0/16:0)	HMDB0099626			
TG(14:0/14:0/i-16:0)	HMDB0099627			
TG(14:0/i-14:0/17:0)	HMDB0099628			
TG(i-14:0/14:0/i-17:0)	HMDB0099629			
TG(i-14:0/i-14:0/a-17:0)[rac]	HMDB0099630			
TG(14:0/i-14:0/a-17:0)[rac]	HMDB0099631			
TG(14:0/i-14:0/i-17:0)	HMDB0099632			
TG(i-14:0/i-14:0/17:0)	HMDB0099633			
TG(i-14:0/14:0/a-17:0)[rac]	HMDB0099634			
TG(i-14:0/i-14:0/i-17:0)	HMDB0099635			
TG(i-14:0/14:0/17:0)	HMDB0099636			
TG(14:0/14:0/17:0)	HMDB0099637			
TG(14:0/14:0/i-17:0)	HMDB0099638			
TG(14:0/14:0/a-17:0)[rac]	HMDB0099639			
TG(14:0/i-14:0/18:0)	HMDB0099640			
TG(i-14:0/14:0/i-18:0)	HMDB0099641			
TG(14:0/i-14:0/i-18:0)	HMDB0099642			
TG(i-14:0/i-14:0/18:0)	HMDB0099643			
TG(i-14:0/i-14:0/i-18:0)	HMDB0099644			
TG(i-14:0/14:0/18:0)	HMDB0099645			
TG(14:0/14:0/i-18:0)	HMDB0099646			
TG(14:0/i-14:0/19:0)	HMDB0099647			
TG(i-14:0/14:0/i-19:0)	HMDB0099648			
TG(14:0/i-14:0/i-19:0)	HMDB0099649			
TG(i-14:0/i-14:0/19:0)	HMDB0099650			
TG(i-14:0/i-14:0/i-19:0)	HMDB0099651			
TG(i-14:0/14:0/19:0)	HMDB0099652			
TG(14:0/14:0/19:0)	HMDB0099653			
TG(14:0/14:0/i-19:0)	HMDB0099654			
TG(14:0/i-14:0/20:0)	HMDB0099655			
TG(i-14:0/14:0/i-20:0)	HMDB0099656			
TG(14:0/i-14:0/i-20:0)	HMDB0099657			
TG(i-14:0/i-14:0/20:0)	HMDB0099658			
TG(i-14:0/i-14:0/i-20:0)	HMDB0099659			
TG(i-14:0/14:0/20:0)	HMDB0099660			
TG(14:0/14:0/i-20:0)	HMDB0099661			
TG(14:0/i-14:0/21:0)	HMDB0099662			
TG(i-14:0/14:0/i-21:0)	HMDB0099663			
TG(i-14:0/i-14:0/a-21:0)[rac]	HMDB0099664			
TG(14:0/i-14:0/a-21:0)[rac]	HMDB0099665			
TG(14:0/i-14:0/i-21:0)	HMDB0099666			
TG(i-14:0/i-14:0/21:0)	HMDB0099667			
TG(i-14:0/14:0/a-21:0)[rac]	HMDB0099668			
TG(i-14:0/i-14:0/i-21:0)	HMDB0099669			
TG(i-14:0/14:0/21:0)	HMDB0099670			
TG(14:0/14:0/21:0)	HMDB0099671			
TG(14:0/14:0/i-21:0)	HMDB0099672			
TG(14:0/14:0/a-21:0)[rac]	HMDB0099673			
TG(14:0/i-14:0/22:0)	HMDB0099674			
TG(i-14:0/14:0/i-22:0)	HMDB0099675			
TG(14:0/i-14:0/i-22:0)	HMDB0099676			
TG(i-14:0/i-14:0/22:0)	HMDB0099677			
TG(i-14:0/i-14:0/i-22:0)	HMDB0099678			
TG(i-14:0/14:0/22:0)	HMDB0099679			
TG(14:0/14:0/i-22:0)	HMDB0099680			
TG(i-14:0/14:0/i-24:0)	HMDB0099681			
TG(14:0/i-14:0/i-24:0)	HMDB0099682			
TG(i-14:0/i-14:0/i-24:0)	HMDB0099683			
TG(14:0/14:0/i-24:0)	HMDB0099684			
TG(i-14:0/i-14:0/a-25:0)[rac]	HMDB0099685			
TG(14:0/i-14:0/a-25:0)[rac]	HMDB0099686			
TG(i-14:0/14:0/a-25:0)[rac]	HMDB0099687			
TG(14:0/14:0/a-25:0)[rac]	HMDB0099688			
TG(14:0/a-15:0/8:0)[rac]	HMDB0099689			
TG(i-14:0/a-15:0/8:0)[rac]	HMDB0099690			
TG(14:0/i-15:0/8:0)	HMDB0099691			
TG(i-14:0/i-15:0/8:0)	HMDB0099692			
TG(i-14:0/15:0/8:0)	HMDB0099693			
TG(14:0/15:0/8:0)	HMDB0099694			
TG(14:0/a-15:0/10:0)[rac]	HMDB0099695			
TG(i-14:0/a-15:0/10:0)[rac]	HMDB0099696			
TG(14:0/i-15:0/10:0)	HMDB0099697			
TG(i-14:0/i-15:0/10:0)	HMDB0099698			
TG(i-14:0/15:0/10:0)	HMDB0099699			
TG(14:0/15:0/10:0)	HMDB0099700			
TG(i-14:0/a-15:0/i-12:0)[rac]	HMDB0099701			
TG(14:0/a-15:0/12:0)[rac]	HMDB0099702			
TG(i-14:0/a-15:0/12:0)[rac]	HMDB0099703			
TG(14:0/a-15:0/i-12:0)[rac]	HMDB0099704			
TG(14:0/i-15:0/12:0)	HMDB0099705			
TG(i-14:0/15:0/i-12:0)	HMDB0099706			
TG(14:0/i-15:0/i-12:0)	HMDB0099707			
TG(i-14:0/i-15:0/12:0)	HMDB0099708			
TG(i-14:0/i-15:0/i-12:0)	HMDB0099709			
TG(i-14:0/15:0/12:0)	HMDB0099710			
TG(14:0/15:0/12:0)	HMDB0099711			
TG(14:0/15:0/i-12:0)	HMDB0099712			
TG(14:0/a-15:0/a-13:0)[rac]	HMDB0099713			
TG(i-14:0/a-15:0/a-13:0)[rac]	HMDB0099714			
TG(i-14:0/a-15:0/i-13:0)[rac]	HMDB0099715			
TG(14:0/a-15:0/13:0)[rac]	HMDB0099716			
TG(i-14:0/a-15:0/13:0)[rac]	HMDB0099717			
