LipidMaps	HMDB
LMFA07011010	HMDB0037186
LMFA07010871	HMDB0031618
LMFA01060160	HMDB0094711
LMFA12000103	HMDB0031486
LMFA01150030	HMDB0112082
LMFA01150042	HMDB0112102
LMFA07090038	HMDB0112125
LMFA07090102	HMDB0112169
LMFA03010022	HMDB0060042
LMFA01020010	HMDB0031068
LMFA01020083	HMDB0031595
LMFA01030036	HMDB0033724
LMFA03010152	HMDB0013629
LMFA01050010	HMDB0061927
LMFA01060003	HMDB0000060
LMFA08040015	HMDB0002088
LMFA01030247	HMDB0005051
LMFA01050314	HMDB0010722
LMFA01030408	HMDB0002823
LMFA01030452	HMDB0033793
LMFA04000012	HMDB10213
LMFA03070027	HMDB0005081
LMFA03060086	HMDB0062433
LMFA01170070	HMDB0013311
LMFA07010178	HMDB0040212
LMFA04000049	HMDB01976
LMFA01100054	HMDB0003911
LMFA11000577	HMDB0033792
LMFA12000075	HMDB0031648
LMFA12000157	HMDB0033577
LMFA07010504	HMDB0034137
LMFA07010814	HMDB0037227
LMFA01060161	HMDB0012233
LMFA07010843	HMDB0032250
LMFA07010762	HMDB0040529
LMFA01030566	HMDB0031097
LMFA01050436	HMDB32662
LMFA03060102	HMDB0062688
LMFA01050494	HMDB0013899
LMFA05000599	HMDB0038782
LMFA08020198	HMDB04231
LMFA07050156	HMDB0003942
LMFA07070051	HMDB00848
LMFA07070052	HMDB0006460
LMFA07070057	HMDB0002014
LMFA07070110	HMDB0013321
LMFA05000643	HMDB0035473
LMFA07010715	HMDB0032310
LMFA07050251	HMDB12158
LMFA07010872	HMDB0039795
LMFA04030011	HMDB03733
LMFA01030257	HMDB0000560
LMFA02000330	HMDB0004710
LMFA01031163	HMS3650A16
LMFA12000046	HMDB0031040
LMFA07090060	HMDB0112122
LMFA03010005	HMDB0002656
LMFA03010014	HMDB0003247
LMFA03010021	HMDB0005079
LMFA01030008	HMDB0010719
LMFA06000028	HMDB0001140
LMFA01050243	HMDB0000011
LMFA01050251	HMDB0010728
LMFA03060069	HMDB0004680
LMFA02000014	HMDB0004708
LMFA12000187	HMDB0031052
LMFA01050366	HMDB0010734
LMFA01050408	HMDB0000746
LMFA05000112	HMDB0013036
LMFA06000126	HMDB0061891
LMFA05000111	HMDB0033676
LMFA05000108	HMDB0006007
LMFA05000171	HMDB0013316
LMFA11000568	HMDB0031450
LMFA05000597	HMDB0039854
LMFA11000523	HMDB0031083
LMFA11000396	HMDB0038308
LMFA07010587	HMDB0038924
LMFA07010674	HMDB0059820
LMFA07010673	HMDB0039619
LMFA11000671	HMDB0030301
LMFA07070009	HMDB0006469
LMFA13010057	HMDB0041176
LMFA05000558	HMDB0031065
LMFA05000564	HMDB0029359
LMFA05000642	HMDB0031045
LMFA05000702	HMDB0032450
LMFA08020191	HMDB0032210
LMFA01030994	HMDB0012183
LMFA07070050	HMDB0000201
LMFA07070054	HMDB02013
LMFA07070066	HMDB13130
LMFA05000587	HMDB0031016
LMFA07011015	HMDB0037191
LMFA07010959	HMDB0036231
LMFA07010846	HMDB0031156
LMFA07010852	HMDB32268
LMFA02000307	HMDB0005048
LMFA01150027	HMDB0039603
LMFA01050229	HMDB0000486
LMFA03010008	HMDB01220
LMFA03010009	HMDB0003235
LMFA03010146	HMDB0001320
LMFA01020074	HMDB0031580
LMFA01030018	HMDB0001568
LMFA01030002	HMDB0000207
LMFA01050005	HMDB0000357
LMFA02000246	HMDB0030980
LMFA06000078	HMDB0034283
LMFA08040013	HMDB0002100
LMFA01060093	HMDB0037326
LMFA01060100	HMDB0030982
LMFA01170007	HMDB0000888
LMFA01170014	HMDB0002327
LMFA01170022	HMDB0000672
LMFA00000008	HMDB0059632
LMFA08010006	HMDB0000962
LMFA06000117	HMDB0033857
LMFA01060192	HMDB0003771
LMFA01170118	HMDB0000202
LMFA07010626	HMDB0038259
LMFA07010505	HMDB0033978
LMFA07010410	HMDB0030062
LMFA05000606	HMDB0030968
LMFA05000631	HMDB0031111
LMFA03020064	HMDB0012641
LMFA01050437	HMDB0035881
LMFA03030015	HMDB0003208
LMFA13010063	HMDB0029911
LMFA05000576	HMDB0040983
LMFA05000560	HMDB0035768
LMFA07010805	HMDB0038270
LMFA07050307	HMDB0059627
LMFA07070039	HMDB0061638
LMFA07070059	HMDB0000651
LMFA07070063	HMDB0006464
LMFA07070108	HMDB02366
LMFA07010728	HMDB0034161
LMFA07050328	HMDB0002845
LMFA01020016	HMDB0038070
LMFA01150005	HMDB0031091
LMFA04010314	HMDB0062276
LMFA03010176	HMDB11137
LMFA07090001	HMDB0112107
LMFA07090016	HMDB0112133
LMFA03010029	HMDB04049
LMFA01050007	HMDB0001863
LMFA02000245	HMDB0030979
LMFA02000174	HMDB0031008
LMFA02000188	HMDB0004670
LMFA02000221	HMDB0030936
LMFA01100051	HMDB0002006
LMFA03060071	HMDB0004696
LMFA03010160	HMDB0060104
LMFA03060078	HMDB0010211
LMFA05000085	HMDB0002350
LMFA12000008	HMDB0033719
LMFA07010434	HMDB0040209
LMFA07010910	HMDB0032328
LMFA05000123	HMDB0035241
LMFA01120003	HMDB0062737
LMFA07010436	HMDB0040211
LMFA07010978	HMDB0034131
LMFA07010960	HMDB0032399
LMFA07070104	HMDB0013124
LMFA07011009	HMDB0031510
LMFA07070069	HMDB0006347
LMFA12000004	HMDB0003671
LMFA03020069	HMDB0012824
LMFA05000666	HMDB0030083
LMFA05000622	HMDB0034856
LMFA07050257	HMDB03934
LMFA07050276	HMDB0060421
LMFA07050394	HMDB02992
LMFA07010722	HMDB0036236
LMFA07010957	HMDB0031596
LMFA04030001	HMDB02294
LMFA02000169	HMDB0038555
LMFA01150011	HMDB0061645
LMFA07090044	HMDB0112149
LMFA03010133	HMDB0060095
LMFA03010144	HMDB0002689
LMFA01030118	HMDB0003797
LMFA01030051	HMDB0002000
LMFA01030029	HMDB0010726
LMFA01030194	HMDB0034439
LMFA01030290	HMDB0041480
LMFA01030405	HMDB0062219
LMFA01030407	HMDB02823
LMFA01170045	HMDB0000603
LMFA01170058	HMDB0037830
LMFA01170103	HMDB0002001
LMFA07010508	HMDB0036219
LMFA11000323	HMDB0031270
LMFA11000580	HMDB0061868
LMFA01050396	HMDB0000754
LMFA07010918	HMDB0040530
LMFA07010966	HMDB0031207
LMFA07010804	HMDB0038277
LMFA01050480	HMDB0037115
LMFA01050514	HMDB0011140
LMFA05000686	HMDB0038035
LMFA06000262	HMDB0032868
LMFA08010022	HMDB0006868
LMFA07070048	HMDB0013205
LMFA07010894	HMDB0032291
LMFA07010917	HMDB0034458
LMFA07010969	HMDB0038300
LMFA07050212	HMDB01166
LMFA07050349	HMDB0060124
LMFA07050355	HMDB01070
LMFA07010775	HMDB0040206
LMFA07010859	HMDB0029761
LMFA07010796	HMDB0040295
LMFA01170104	HMDB0002023
LMFA01060194	HMDB0002050
LMFA01150023	HMDB0112083
LMFA12000355	HMDB0034454
LMFA06000259	HMDB0041335
LMFA07090074	HMDB0112176
LMFA03050006	HMDB0002311
LMFA03010025	HMDB0001483
LMFA03010027	HMDB0004685
LMFA03010049	HMDB0005102
LMFA01020104	HMDB0035837
LMFA03090005	HMDB04688
LMFA01010027	HMDB0002063
LMFA01030092	HMDB0002368
LMFA01020007	HMDB0031072
LMFA02000147	HMDB0034295
LMFA01030422	HMDB0035215
LMFA01170018	HMDB0000872
LMFA03060077	HMDB0010204
LMFA05000660	HMDB0040919
LMFA12000163	HMDB0031019
LMFA05000701	HMDB32301
LMFA12000057	HMDB0001659
LMFA01020391	HMDB0031587
LMFA07010675	HMDB0035474
LMFA01150026	HMDB0112095
LMFA01050460	HMDB0006855
LMFA01030987	HMDB0012175
LMFA01030921	HMDB0041012
LMFA03020046	HMDB0012549
LMFA07050243	HMDB0060190
LMFA07070105	HMDB0000824
LMFA07010741	HMDB0036208
LMFA07010781	HMDB0032164
LMFA07010979	HMDB0038073
LMFA07010987	HMDB0032461
LMFA07050284	HMDB0004047
LMFA07050377	HMDB02289
LMFA07010963	HMDB0031264
LMFA07010956	HMDB0039794
LMFA07010693	HMDB0032269
LMFA03020001	HMDB0001085
LMFA03050008	HMDB0002314
LMFA03110006	HMDB0002115
LMFA03020010	HMDB0005073
LMFA03060006	HMDB0004679
LMFA02000128	HMDB0037396
LMFA01050020	HMDB0000711
LMFA01050049	HMDB0112189
LMFA02000242	HMDB0034074
LMFA01010010	HMDB0000511
LMFA01010023	HMDB0001160
LMFA06000019	HMDB0033827
LMFA08010004	HMDB0002117
LMFA01020242	HMDB0031588
LMFA01030332	HMDB0062238
LMFA01050252	HMDB10728
LMFA01030708	HMDB0031054
LMFA02000047	HMDB0010208
LMFA03110008	HMDB0002236
LMFA08020079	HMDB0013034
LMFA02000238	HMDB0059633
LMFA07010464	HMDB0033788
LMFA01170098	HMDB0000510
LMFA03100008	HMDB0002363
LMFA01020291	HMDB0001877
LMFA06000255	HMDB0033545
LMFA05000561	HMDB0031502
LMFA05000695	HMDB0005022
LMFA05000698	HMDB0035939
LMFA05000624	HMDB0037164
LMFA07010810	HMDB0032453
LMFA07010940	HMDB0031500
LMFA01020076	HMDB0000689
LMFA07010710	HMDB0037498
LMFA07010742	HMDB0038036
LMFA07010767	HMDB0038906
LMFA07010780	HMDB0036424
LMFA07050292	HMDB01088
LMFA07010949	HMDB0032409
LMFA01020077	HMDB0031221
LMFA01150029	HMDB0112067
LMFA08020261	HMDB0013272
LMFA07090014	HMDB0112132
LMFA03060014	HMDB0004244
LMFA03010004	HMDB0001403
LMFA03010135	HMDB0002664
LMFA03010020	HMDB0004238
LMFA02000126	HMDB0112182
LMFA01060007	HMDB0001864
LMFA01030124	HMDB0061864
LMFA01060170	HMDB0001553
LMFA03060064	HMDB06111
LMFA01030264	HMDB0035877
LMFA08040034	HMDB0013652
LMFA03080012	HMDB0004688
LMFA01050393	HMDB00351
LMFA03070037	HMDB0062293
LMFA06000146	HMDB0036598
LMFA01150002	HMDB0031126
LMFA05000194	HMDB0013299
LMFA01010003	HMDB0000237
LMFA07040042	HMDB0031683
LMFA11000581	HMDB0033721
LMFA01020249	HMDB0002396
LMFA01030199	HMDB0004980
LMFA03020043	HMDB0012502
LMFA01050452	HMDB0012140
LMFA01030964	HMDB0039819
LMFA05000553	HMDB0037791
LMFA07050108	HMDB0059619
LMFA07010807	HMDB0031691
LMFA07010835	HMDB0032223
LMFA07011019	HMDB0029887
LMFA07010945	HMDB0031302
LMFA07050345	HMDB01175
LMFA07050225	HMDB0062353
LMFA07050239	HMDB03939
LMFA07050343	HMDB01064
LMFA07010980	HMDB0038603
LMFA07010952	HMDB0037619
LMFA07010903	HMDB0036218
LMFA01050153	HMDB0002203
LMFA05000060	HMDB0030952
LMFA07090052	HMDB0112157
LMFA07090059	HMDB0112164
LMFA01010026	HMDB0002356
LMFA03020016	HMDB0006059
LMFA03010034	HMDB0060054
LMFA01050023	HMDB0061914
LMFA01050025	HMDB0031513
LMFA02000125	HMDB0112181
LMFA01060010	HMDB0061881
LMFA01030054	HMDB0010735
LMFA05000037	HMDB0039534
LMFA01050323	HMDB10731
LMFA01170049	HMDB0000321
LMFA02000036	HMDB04670
LMFA07070002	HMDB0000791
LMFA01030779	HMDB0031501
LMFA01050381	HMDB0000665
LMFA01060190	HMDB0002217
LMFA01050389	HMDB0001987
LMFA01050398	HMDB0003381
LMFA07010454	HMDB0033848
LMFA05000107	HMDB0030126
LMFA01030822	HMDB0002007
LMFA01030820	HMDB0006322
LMFA08020092	HMDB0062336
LMFA11000312	HMDB0062602
LMFA11000572	HMDB0061782
LMFA07040028	HMDB0037116
LMFA01150041	HMDB0112093
LMFA01030005	HMDB0032459
LMFA01050423	HMDB0031057
LMFA03020042	HMDB0012501
LMFA03020044	HMDB0012503
LMFA01020395	HMDB0002169
LMFA07070053	HMDB0013126
LMFA05000543	HMDB0036196
LMFA07010991	HMDB0036225
LMFA07050205	HMDB0004601
LMFA07050379	HMDB0060392
LMFA07010711	HMDB0036230
LMFA07010933	HMDB0037114
LMFA07010950	HMDB0030027
LMFA07090101	HMDB0112170
LMFA03030002	HMDB0003252
LMFA03060009	HMDB0005998
LMFA03080004	HMDB10409
LMFA03060012	HMDB0001193
LMFA03020014	HMDB0005088
LMFA03060037	HMDB04699
LMFA01010004	HMDB0000039
LMFA03010024	HMDB0001908
LMFA05000028	HMDB0034000
LMFA06000088	HMDB0001551
LMFA01020244	HMDB0031557
LMFA01060099	HMDB0010730
LMFA01050162	HMDB0061654
LMFA01030198	HMDB0031002
LMFA01060173	HMDB0012131
LMFA12000002	HMDB0033713
LMFA01100034	HMDB0000452
LMFA01050380	HMDB0000317
LMFA01170079	HMDB0002266
LMFA01170114	HMDB0001268
LMFA01170124	HMDB0002349
LMFA01030805	HMDB06246
LMFA05000610	HMDB0038186
LMFA06000131	HMDB0039844
LMFA05000131	HMDB0041498
LMFA05000101	HMDB0000820
LMFA07070008	HMDB0000848
LMFA11000575	HMDB0031447
LMFA11000583	HMDB0029603
LMFA11000040	HMDB0062763
LMFA07010652	HMDB0032042
LMFA07010573	HMDB0034164
LMFA07010936	HMDB0031504
LMFA05000575	HMDB0030615
LMFA07010858	HMDB0037196
LMFA07010867	HMDB0037620
LMFA02000288	HMDB0040901
LMFA03020070	HMDB0012838
LMFA07010851	HMDB0037329
LMFA07010791	HMDB0037369
LMFA07050398	HMDB13114
LMFA07070060	HMDB00201
LMFA07070062	HMDB0002250
LMFA07070082	HMDB0013288
LMFA07011020	HMDB0029888
LMFA07011001	HMDB0037307
LMFA07010935	HMDB0033765
LMFA04010394	HMDB0012638
LMFA01150009	HMDB0061644
LMFA07090045	HMDB0112150
LMFA07090031	HMDB0112105
LMFA07090048	HMDB0112153
LMFA01050001	HMDB02261
LMFA03010019	HMDB0002710
LMFA03010010	HMDB0001381
LMFA01010001	HMDB0000220
LMFA03110007	HMDB0002132
LMFA03020015	HMDB0005088
LMFA01020030	HMDB0001470
LMFA01050004	HMDB0000008
LMFA01050014	HMDB0000525
LMFA01030193	HMDB0031647
LMFA08040004	HMDB0012252
LMFA01030306	HMDB0062784
LMFA01170047	HMDB0037759
LMFA01170082	HMDB0001241
LMFA01050391	HMDB0000354
LMFA12000056	HMDB0031081
LMFA07040020	HMDB0032442
LMFA12000071	HMDB0031511
LMFA08010009	HMDB0012273
LMFA11000686	HMDB0062790
LMFA01030945	HMDB0013904
LMFA05000600	HMDB0036741
LMFA05000630	HMDB0031589
LMFA07070045	HMDB0061640
LMFA07070071	HMDB0013127
LMFA07070076	HMDB0000688
LMFA05000648	HMDB0032206
LMFA05000569	HMDB0031001
LMFA07010694	HMDB0032270
LMFA07010740	HMDB0036227
LMFA07010746	HMDB0040208
LMFA07050237	HMDB0060378
LMFA07010788	HMDB0039883
LMFA07010961	HMDB0031478
LMFA07010848	HMDB0037497
LMFA07010883	HMDB0034156
LMFA07010792	HMDB0037137
LMFA07090012	HMDB0112112
LMFA01150014	HMDB0061648
LMFA01010013	HMDB0000910
LMFA07090034	HMDB0112115
LMFA07090025	HMDB0112140
LMFA07090018	HMDB0112135
LMFA07090054	HMDB0112159
LMFA03010026	HMDB0004240
LMFA03010033	HMDB0001244
LMFA01030033	HMDB0031003
LMFA01010014	HMDB0000806
LMFA01030026	HMDB0031271
LMFA01010008	HMDB0000482
LMFA01050029	HMDB0094656
LMFA08040011	HMDB0013625
LMFA01020187	HMDB0038237
LMFA03060052	HMDB0062409
LMFA03070025	HMDB0062222
LMFA03060089	HMDB10222
LMFA01170066	HMDB0001268
LMFA05000098	HMDB0034287
LMFA03010206	HMDB0062297
LMFA02000239	HMDB11108
LMFA03060093	HMDB0006245
LMFA01100052	HMDB0002362
LMFA01050385	HMDB0000360
LMFA01030806	HMDB00480
LMFA12000141	HMDB0034761
LMFA06000254	HMDB0060285
LMFA08020104	HMDB0062335
LMFA07010212	HMDB0040166
LMFA01020110	HMDB0170858
LMFA01060055	HMDB0030972
LMFA07040012	HMDB0031681
LMFA08020193	HMDB0032273
LMFA08020169	HMDB0014884
LMFA07040067	HMDB0032331
LMFA01050484	HMDB0002261
LMFA05000621	HMDB0030942
LMFA01030923	HMDB0030963
LMFA07010725	HMDB0038038
LMFA07010747	HMDB0040210
LMFA07010923	HMDB0034128
LMFA01170002	HMDB0000933
LMFA01031076	HMDB0031101
LMFA01150032	HMDB0112087
LMFA01010006	HMDB0000535
LMFA07090023	HMDB0112117
LMFA07090043	HMDB0112148
LMFA07090027	HMDB0112142
LMFA02020001	HMDB0032797
LMFA03030003	HMDB0002904
LMFA03010051	HMDB0062298
LMFA03110002	HMDB0004686
LMFA01060008	HMDB0010717
LMFA01050051	HMDB0006294
LMFA01030176	HMDB02177
LMFA06000040	HMDB0059835
LMFA01050188	HMDB0061658
LMFA03080007	HMDB0005050
LMFA01060191	HMDB0001280
LMFA02000012	HMDB0062434
LMFA01100035	HMDB0001901
LMFA11000005	HMDB0034288
LMFA01050395	HMDB02207
LMFA01170095	HMDB00555
LMFA08040051	HMDB0013078
LMFA05000144	HMDB0013113
LMFA12000118	HMDB0004814
LMFA07010677	HMDB0040392
LMFA11000604	HMDB0061915
LMFA05000483	HMDB0031481
LMFA07010892	HMDB0037727
LMFA07010942	HMDB0036237
LMFA05000581	HMDB0036581
LMFA07010761	HMDB0037495
LMFA07010983	HMDB0034134
LMFA07090103	HMDB0112171
LMFA07090003	HMDB0112118
LMFA07090013	HMDB0112131
LMFA07010682	HMDB0038729
LMFA05000668	HMDB0038148
LMFA07070033	HMDB0013166
LMFA07070046	HMDB0006202
LMFA07070080	HMDB0002095
LMFA07010868	HMDB0039220
LMFA07010876	HMDB0040207
LMFA07010988	HMDB0032045
LMFA07050399	HMDB0013115
LMFA07011011	HMDB0037188
LMFA07010954	HMDB0040328
LMFA01050541	HMDB0112186
LMFA04010170	HMDB0012855
LMFA01150022	HMDB0112100
LMFA03060001	HMDB0003876
LMFA03010002	HMDB01139
LMFA03010031	HMDB0002776
LMFA03010060	HMDB0060041
LMFA03070005	HMDB0012534
LMFA03070008	HMDB10202
LMFA01020073	HMDB0041992
LMFA01010007	HMDB0000666
LMFA05000003	HMDB0034380
LMFA05000027	HMDB0031928
LMFA01030226	HMDB0000529
LMFA03060058	HMDB0010222
LMFA02000187	HMDB10223
LMFA01170006	HMDB0000792
LMFA01020280	HMDB00491
LMFA02000229	HMDB0004704
LMFA12000003	HMDB0034235
LMFA01170076	HMDB0000424
LMFA01050384	HMDB0000421
LMFA01050397	HMDB00498
LMFA01050417	HMDB0000729
LMFA01170121	HMDB0000225
LMFA05000688	HMDB0041201
LMFA08040043	HMDB0013648
LMFA12000020	HMDB0003243
LMFA07010422	HMDB0037312
LMFA01050453	HMDB0012141
LMFA07010826	HMDB0013228
LMFA07010875	HMDB0039581
LMFA07010908	HMDB0032044
LMFA01050486	HMDB0001353
LMFA03090010	HMDB0004673
LMFA03060104	HMDB0012567
LMFA01030981	HMDB0059783
LMFA05000566	HMDB0030030
LMFA05000595	HMDB0031007
LMFA05000670	HMDB0032735
LMFA07070061	HMDB0006321
LMFA07070087	HMDB0061677
LMFA07010920	HMDB0039217
LMFA07010717	HMDB0038274
LMFA07010745	HMDB0037814
LMFA01150028	HMDB0112096
LMFA04010378	HMDB0012601
LMFA04010154	HMDB0012777
LMFA01020029	HMDB0029608
LMFA03010003	HMDB0001220
LMFA03010018	HMDB04236
LMFA03110003	HMDB0005844
LMFA03020013	HMDB0001085
LMFA01030362	HMDB0013622
LMFA01060002	HMDB0000005
LMFA01060051	HMDB0010733
LMFA06000051	HMDB0004362
LMFA01050313	HMDB0002264
LMFA01050322	HMDB0010731
LMFA01030357	HMDB0006547
LMFA03010189	HMDB0062663
LMFA01170077	HMDB0002349
LMFA01050386	HMDB00366
LMFA01170085	HMDB00341
LMFA01050394	HMDB00410
LMFA01170092	HMDB0000350
LMFA01030804	HMDB02007
LMFA05000100	HMDB0006006
LMFA11000037	HMDB0035792
LMFA11000586	HMDB0059907
LMFA11000329	HMDB0061834
LMFA07010417	HMDB0039618
LMFA07011014	HMDB0037190
LMFA01030088	HMDB0002884
LMFA08010018	HMDB0033870
LMFA11000592	HMDB0061908
LMFA03060103	HMDB0012508
LMFA03020066	HMDB0012643
LMFA07010718	HMDB0032321
LMFA05000590	HMDB0031037
LMFA05000592	HMDB0033180
LMFA05000645	HMDB0031049
LMFA07010726	HMDB0036212
LMFA07010743	HMDB0038291
LMFA07050331	HMDB0001243
LMFA07070078	HMDB0006461
LMFA07070089	HMDB0062468
LMFA07070111	HMDB0013128
LMFA07010845	HMDB0031015
LMFA07010975	HMDB0062659
LMFA07050192	HMDB0011660
LMFA07050347	HMDB0002170
LMFA07090036	HMDB0112110
LMFA03090002	HMDB0001977
LMFA03030004	HMDB04242
LMFA03080002	HMDB0002190
LMFA03020006	HMDB0003080
LMFA03010131	HMDB0002982
LMFA01050015	HMDB0012843
LMFA01060091	HMDB0010727
LMFA06000053	HMDB0030999
LMFA03060059	HMDB10222
LMFA01100043	HMDB0000650
LMFA02020009	HMDB0035601
LMFA03060088	HMDB06111
LMFA01140007	HMDB0030997
LMFA01020288	HMDB0002373
LMFA01050402	HMDB0000624
LMFA07050327	HMDB06459
LMFA01090152	HMDB0060363
LMFA12000156	HMDB0032212
LMFA11000349	HMDB0029701
LMFA11000354	HMDB0031071
LMFA07010778	HMDB0029763
LMFA07010895	HMDB0038260
LMFA03020049	HMDB0012552
LMFA01050483	HMDB0059655
LMFA05000556	HMDB0030368
LMFA05000620	HMDB0034261
LMFA07010907	HMDB0032327
LMFA05000661	HMDB0039107
LMFA07010931	HMDB0031028
LMFA05000572	HMDB0031298
LMFA07050241	HMDB0060241
LMFA07050255	HMDB0060238
LMFA07010968	HMDB0038299
LMFA07010953	HMDB0036238
LMFA07010990	HMDB0037306
LMFA07011018	HMDB0029886
LMFA07011028	HMDB0032534
LMFA07011013	HMDB0037189
LMFA07050393	HMDB03944
LMFA07050386	HMDB0002137
LMFA07050378	HMDB0011689
LMFA01150018	HMDB0061646
LMFA01150024	HMDB0112085
LMFA01150025	HMDB0112086
LMFA07090061	HMDB0112165
LMFA06000274	HMDB0032213
LMFA06000273	HMDB0033544
LMFA05000109	HMDB0004327
LMFA05000504	HMDB0034152
LMFA01050445	HMDB0029439
LMFA03020074	HMDB0002355
LMFA03020065	HMDB0012642
LMFA04040001	HMDB0003689
LMFA01150021	HMDB0112072
LMFA03060002	HMDB0011134
LMFA05000672	HMDB0038997
LMFA01030089	HMDB0002068
LMFA03060109	HMDB0010219
LMFA07040050	HMDB0030921
LMFA03060011	HMDB0010217
LMFA12000354	HMDB0034453
LMFA06000189	HMDB0034561
LMFA03010100	HMDB02752
LMFA03020024	HMDB0004234
LMFA01030248	HMDB0000499
LMFA01030047	HMDB0010732
LMFA08040058	HMDB0032358
LMFA01030048	HMDB05051
LMFA01031013	HMDB0034432
LMFA08020192	HMDB0037770
LMFA08020207	HMDB0031678
LMFA08020003	HMDB0005096
LMFA05000142	HMDB0032532
LMFA08020098	HMDB0062340
LMFA08020100	HMDB0062343
LMFA01030807	HMDB0000477
LMFA07090056	HMDB0112161
LMFA05000213	HMDB0029632
LMFA01030289	HMDB0031046
LMFA01030073	HMDB0000573
LMFA01030077	HMDB0003231
LMFA01030068	HMDB0062242
LMFA01010018	HMDB0000827
LMFA07010847	HMDB0031029
LMFA01030123	HMDB0006270
LMFA07010466	HMDB0061946
LMFA07010456	HMDB0032324
LMFA01030919	HMDB0035963
LMFA05000459	HMDB0033177
LMFA05000117	HMDB0012971
LMFA05000122	HMDB0031479
LMFA05000571	HMDB0031405
LMFA01030084	HMDB0062436
LMFA07010916	HMDB0037629
LMFA01150001	HMDB0112099
LMFA01030378	HMDB0060039
LMFA01030158	HMDB0002925
LMFA01030818	HMDB0002177
LMFA01030185	HMDB0002183
LMFA01030988	HMDB0039768
LMFA01030961	HMDB0030967
LMFA01030100	HMDB0029581
LMFA07050260	HMDB11604
LMFA07050302	HMDB04257
LMFA07050340	HMDB0003571
LMFA07050376	HMDB01168
LMFA07050352	HMDB01521
LMFA07050360	HMDB0059623
LMFA07050396	HMDB03946
LMFA07050060	HMDB0062239
LMFA07050061	HMDB0062246
LMFA07050322	HMDB0006368
LMFA07050369	HMDB01114
LMFA07050285	HMDB0003947
LMFA05000573	HMDB0031102
LMFA07050318	HMDB0062217
LMFA07050043	HMDB0062234
LMFA07050098	HMDB0062221
LMFA07050372	HMDB0060239
LMFA07050313	HMDB06404
LMFA07050375	HMDB0011123
LMFA07050391	HMDB03938
LMFA07050397	HMDB0013109
LMFA07050171	HMDB0011656
LMFA07050036	HMDB0062215
LMFA07050042	HMDB0062240
LMFA07050044	HMDB0062216
LMFA07050110	HMDB0062344
LMFA07050111	HMDB0062630
LMFA07050117	HMDB12475
LMFA07050118	HMDB0062370
LMFA07050122	HMDB0060311
LMFA07050125	HMDB0060312
LMFA07050126	HMDB0060313
LMFA07050133	HMDB0062354
LMFA07050142	HMDB0062535
LMFA07050185	HMDB0001295
LMFA07050222	HMDB06870
LMFA07050265	HMDB0060153
LMFA07050288	HMDB06523
LMFA07050297	HMDB0006540
LMFA07050305	HMDB0062426
LMFA07050336	HMDB01113
LMFA07050367	HMDB0011636
LMFA07050381	HMDB0011121
LMFA07070003	HMDB0002013
LMFA07070004	HMDB0000222
LMFA07070005	HMDB0062514
LMFA07070113	HMDB0013337
LMFA07010571	HMDB0059860
LMFA05000092	HMDB0031265
LMFA05000559	HMDB0041601
LMFA05000126	HMDB0031296
LMFA03140003	HMDB10410
LMFA05000128	HMDB0035231
LMFA05000106	HMDB0030124
LMFA05000467	HMDB0061886
LMFA07040008	HMDB0033840
LMFA06000251	HMDB0031206
LMFA01060201	HMDB29796
LMFA07010448	HMDB0036216
LMFA02000326	HMDB0061650
LMFA01030141	HMDB0003073
LMFA01030152	HMDB0001388
LMFA01030225	HMDB00529
LMFA01030120	HMDB0000673
LMFA01030759	HMDB0001999
LMFA07010714	HMDB0037729
LMFA07010180	HMDB0032311
LMFA01030169	HMDB06547
LMFA05000507	HMDB0031732
LMFA03020004	HMDB0002995
LMFA06000110	HMDB0031498
LMFA05000221	HMDB0011619
LMFA02000127	HMDB0061661
LMFA02000131	HMDB0061662
LMFA02000154	HMDB0112194
LMFA02000316	HMDB0029978
LMFA02000247	HMDB0013623
LMFA07010230	HMDB0240268
LMFA02000029	HMDB0010203
LMFA03010036	HMDB0010199
LMFA07010643	HMDB0040213
LMFA01010028	HMDB0002348
LMFA11000573	HMDB0030092
LMFA07010414	HMDB0037311
LMFA07010748	HMDB0040593
LMFA07010592	HMDB0038278
LMFA07010625	HMDB0029350
LMFA04000032	HMDB0010213
LMFA04000037	HMDB0013621
LMFA04000038	HMDB0013620
LMFA07050334	HMDB0112245
LMFA07010447	HMDB0040195
LMFA03110001	HMDB0005083
LMFA03040002	HMDB0005082
LMFA03020073	HMDB0012994
LMFA02000038	HMDB0004702
LMFA07010194	HMDB0035157
LMFA07010623	HMDB0035156
LMFA07010397	HMDB0037127
LMFA01030381	HMDB0010378
LMFA01030821	HMDB0006323
LMFA07010479	HMDB0034730
LMGL01020034	HMDB0013657
LMGL02010001	HMDB07098
LMGL02010164	HMDB0007401
LMGL02010231	HMDB0007378
LMGL03010064	HMDB05435
LMGL03010202	HMDB0045559
LMGL02010057	HMDB0007163
LMGL03010596	HMDB0050589
LMGL03010677	HMDB05456
LMGL03011265	HMDB0046366
LMGL03011414	HMDB0046691
LMGL03011715	HMDB0051852
LMGL03012041	HMDB0046387
LMGL03012049	HMDB0051736
LMGL03012630	HMDB0101086
LMGL03012784	HMDB0101583
LMGL03012724	HMDB0101349
LMGL03012902	HMDB0106154
LMGL03013192	HMDB0109797
LMGL03013454	HMDB0066951
LMGL02010151	HMDB0007399
