LipidMaps	HMDB
LMFA08020099	HMDB0062337
LMFA01100040	HMDB0003355
LMFA01030819	HMDB0006246
LMFA07010103	HMDB0038307
LMFA07010899	HMDB0040281
LMFA11000601	HMDB0062787
LMFA07010696	HMDB0032346
LMFA07010727	HMDB0038040
LMFA03060108	HMDB0011135
LMFA03020047	HMDB0012550
LMFA03020071	HMDB0012839
LMFA03020068	HMDB0012110
LMFA01050461	HMDB0000337
LMFA01050463	HMDB0000442
LMFA01030946	HMDB0013903
LMFA05000594	HMDB0031006
LMFA05000601	HMDB0037143
LMFA07070029	HMDB0006320
LMFA07010877	HMDB0039530
LMFA07050158	HMDB03936
LMFA07050189	HMDB01157
LMFA07050191	HMDB02054
LMFA07050332	HMDB0112247
LMFA07010882	HMDB0040463
LMFA07050380	HMDB0011120
LMFA07090028	HMDB0112109
LMFA01050077	HMDB0061660
LMFA03030001	HMDB0001452
LMFA03010030	HMDB0003175
LMFA01020009	HMDB0061707
LMFA01020011	HMDB0031067
LMFA01020072	HMDB0002176
LMFA01030144	HMDB0030962
LMFA01030055	HMDB0002186
LMFA01010029	HMDB0002230
LMFA01050021	HMDB0001954
LMFA01050039	HMDB0002059
LMFA02000120	HMDB0062549
LMFA06000052	HMDB0011623
LMFA01050190	HMDB0112184
LMFA02000044	HMDB0062288
LMFA08020077	HMDB0013308
LMFA01170081	HMDB0002025
LMFA01170083	HMDB0000402
LMFA01170087	HMDB0000393
LMFA07010566	HMDB0040252
LMFA03040008	HMDB0062291
LMFA07010522	HMDB0032275
LMFA07070070	HMDB0000705
LMFA07010418	HMDB0039620
LMFA06000253	HMDB0060287
LMFA01050160	HMDB0039533
LMFA07070081	HMDB0013133
LMFA02000311	HMDB0029796
LMFA06000120	HMDB0031759
LMFA03020048	HMDB0012551
LMFA01050472	HMDB0006833
LMFA01050477	HMDB0000366
LMFA01050491	HMDB0000351
LMFA05000579	HMDB0031288
LMFA05000582	HMDB0034290
LMFA05000656	HMDB0041067
LMFA08020195	HMDB0031184
LMFA08020200	HMDB31678
LMFA07050242	HMDB03943
LMFA07010712	HMDB0039219
LMFA07010721	HMDB0032386
LMFA07010890	HMDB0039874
LMFA07050356	HMDB0001322
LMFA07010914	HMDB0032347
LMFA07010820	HMDB0037226
LMFA07010880	HMDB0034451
LMFA01020096	HMDB0037397
LMFA03110004	HMDB0006562
LMFA07090063	HMDB0112167
LMFA07070001	HMDB0000756
LMFA03090004	HMDB0001965
LMFA01010005	HMDB0000892
LMFA01010022	HMDB0000944
LMFA01010002	HMDB0000042
LMFA06000098	HMDB0002384
LMFA05000008	HMDB0014770
LMFA01030261	HMDB0037647
LMFA01120004	HMDB0062738
LMFA07010513	HMDB0041603
LMFA05000135	HMDB0040581
LMFA03060051	HMDB0010210
LMFA01030971	HMDB0031560
LMFA03030016	HMDB0005099
LMFA01030951	HMDB0039793
LMFA05000589	HMDB0039539
LMFA08010019	HMDB0000985
LMFA07070064	HMDB0013134
LMFA07050144	HMDB03945
LMFA07050157	HMDB01052
LMFA07070067	HMDB0006210
LMFA07070072	HMDB0013131
LMFA07050370	HMDB01022
LMFA07050324	HMDB01339
LMFA07010724	HMDB0032393
LMFA07010766	HMDB0038914
LMFA07050365	HMDB0006403
LMFA07010896	HMDB0038256
LMFA07010939	HMDB32396
LMFA07010870	HMDB0031603
LMFA01050172	HMDB0061655
LMFA04010362	HMDB0012580
LMFA01150019	HMDB0112078
LMFA08040001	HMDB0004080
LMFA02000130	HMDB0061706
LMFA03020011	HMDB0005085
LMFA02000124	HMDB0112193
LMFA02000240	HMDB0010736
LMFA06000043	HMDB0032535
LMFA06000064	HMDB0030941
LMFA02000255	HMDB0030981
LMFA03060063	HMDB0006111
LMFA01030283	HMDB0060038
LMFA05000059	HMDB0030003
LMFA11000345	HMDB0032661
LMFA01170029	HMDB0000782
LMFA03050017	HMDB0004684
LMFA02000046	HMDB0010201
LMFA01130006	HMDB0001527
LMFA07010176	HMDB0039095
LMFA11000606	HMDB0031583
LMFA05000219	HMDB0034933
LMFA08020091	HMDB0062339
LMFA08020093	HMDB0062342
LMFA11000332	HMDB0029551
LMFA12000062	HMDB0030943
LMFA11000571	HMDB0059909
LMFA02000037	HMDB0004701
LMFA05000540	HMDB0038920
LMFA12000335	HMDB0031519
LMFA07090040	HMDB0112127
LMFA03020059	HMDB0012633
LMFA03020061	HMDB0012635
LMFA03040011	HMDB0012590
LMFA05000651	HMDB0032675
LMFA01030999	HMDB0060320
LMFA08020189	HMDB0036195
LMFA07010817	HMDB0037228
LMFA07010941	HMDB0039872
LMFA07050335	HMDB0112243
LMFA07010958	HMDB37305
LMFA07010967	HMDB0029582
LMFA07010869	HMDB0032272
LMFA07010909	HMDB0036211
LMFA03080003	HMDB0002232
LMFA07090062	HMDB0112166
LMFA03070053	HMDB0010209
LMFA07090067	HMDB0112177
LMFA07090057	HMDB0112162
LMFA07090051	HMDB0112156
LMFA03010012	HMDB0004241
LMFA03010013	HMDB01979
LMFA03050007	HMDB0005045
LMFA01020014	HMDB0031066
LMFA01010015	HMDB0000826
LMFA01050008	HMDB0000531
LMFA02000123	HMDB0112180
LMFA01060004	HMDB0001865
LMFA01030250	HMDB0062248
LMFA01050246	HMDB10725
LMFA05000061	HMDB0003424
LMFA02000034	HMDB0003871
LMFA03060092	HMDB0062302
LMFA03060094	HMDB02344
LMFA01050382	HMDB0000336
LMFA01100049	HMDB0002299
LMFA01060195	HMDB0005971
LMFA01170110	HMDB0001131
LMFA01170120	HMDB0000223
LMFA11000569	HMDB0061865
LMFA05000210	HMDB0032147
LMFA05000104	HMDB0031527
LMFA07010184	HMDB0029980
LMFA08020106	HMDB0062341
LMFA12000033	HMDB0002939
LMFA12000055	HMDB0031295
LMFA12000088	HMDB0005841
LMFA07090035	HMDB0112123
LMFA07010572	HMDB0036234
LMFA01100015	HMDB0094649
LMFA05000669	HMDB0041035
LMFA05000682	HMDB0038685
LMFA08010023	HMDB0001526
LMFA06000071	HMDB0033933
LMFA07010905	HMDB0040163
LMFA05000541	HMDB0059889
LMFA07010906	HMDB0039215
LMFA01050245	HMDB0010725
LMFA05000663	HMDB0039358
LMFA03050023	HMDB0010170
LMFA01030982	HMDB0013897
LMFA05000623	HMDB0036165
LMFA05000635	HMDB0033640
LMFA07010705	HMDB0031000
LMFA07010716	HMDB0013162
LMFA07010881	HMDB0040297
LMFA07050364	HMDB01275
LMFA07050176	HMDB03712
LMFA07070058	HMDB0006496
LMFA04010186	HMDB0062275
LMFA07090030	HMDB0112144
LMFA01010019	HMDB0000772
LMFA01020071	HMDB0001873
LMFA01030076	HMDB0240219
LMFA01030022	HMDB0032207
LMFA01010020	HMDB0002212
LMFA01030012	HMDB0031484
LMFA01010011	HMDB0000947
LMFA01030367	HMDB0035159
LMFA01100045	HMDB0062263
LMFA01030788	HMDB0010729
LMFA02000283	HMDB04701
LMFA03100002	HMDB0002400
LMFA02000040	HMDB0010200
LMFA01170091	HMDB00355
LMFA01100056	HMDB0000991
LMFA06000118	HMDB0001259
LMFA03060095	HMDB0062615
LMFA01150004	HMDB0061112
LMFA08040039	HMDB0013630
LMFA07010200	HMDB0040266
LMFA05000133	HMDB0059887
LMFA01030983	HMDB0036136
LMFA07010776	HMDB0040591
LMFA07010449	HMDB0033166
LMFA07010496	HMDB0061858
LMFA01030984	HMDB0039650
LMFA01050478	HMDB0000407
LMFA03020045	HMDB0012504
LMFA03020060	HMDB0012634
LMFA01050440	HMDB0029449
LMFA05000655	HMDB0041071
LMFA08010020	HMDB0000583
LMFA08010024	HMDB0038239
LMFA07010779	HMDB0037625
LMFA07070028	HMDB0013154
LMFA07010760	HMDB0033618
LMFA07010774	HMDB0034494
LMFA07050164	HMDB01269
LMFA07050226	HMDB06807
LMFA07050385	HMDB0062633
LMFA07010816	HMDB0038958
LMFA07010900	HMDB0032298
LMFA07010989	HMDB0034162
LMFA07011016	HMDB0037187
LMFA07010951	HMDB0030060
LMFA01060016	HMDB0013211
LMFA07090026	HMDB0112141
LMFA03080001	HMDB0002283
LMFA03060010	HMDB0010216
LMFA03110005	HMDB0005077
LMFA01020097	HMDB0000509
LMFA01050006	HMDB0000710
LMFA01050011	HMDB0001624
LMFA01050034	HMDB0059736
LMFA01030043	HMDB0032248
LMFA05000041	HMDB0011638
LMFA06000107	HMDB0029695
LMFA03080008	HMDB0004693
LMFA01100042	HMDB0001645
LMFA01100047	HMDB0000172
LMFA01050383	HMDB0006900
LMFA01170109	HMDB0000620
LMFA01030880	HMDB0062218
LMFA07010435	HMDB0034165
LMFA07010437	HMDB0036229
LMFA07010976	HMDB0038258
LMFA11000392	HMDB0037267
LMFA12000037	HMDB0031549
LMFA12000054	HMDB0031294
LMFA12000125	HMDB0032335
LMFA07010567	HMDB0034239
LMFA01050528	HMDB0039324
LMFA05000584	HMDB0038781
LMFA05000554	HMDB0033217
LMFA07011021	HMDB0033372
LMFA01060200	HMDB0031897
LMFA03020050	HMDB0012553
LMFA05000650	HMDB0035729
LMFA08010025	HMDB0006239
LMFA05000664	HMDB0040375
LMFA07010719	HMDB0038273
LMFA07050350	HMDB01011
LMFA07090022	HMDB0112138
LMFA07090042	HMDB0112147
LMFA07090039	HMDB0112126
LMFA07090020	HMDB0112108
LMFA01050175	HMDB0061656
LMFA07090006	HMDB0112119
LMFA07090019	HMDB0112136
LMFA02000249	HMDB0040900
LMFA01170001	HMDB0000893
LMFA03060013	HMDB0004243
LMFA03020018	HMDB0001509
LMFA01050012	HMDB0061652
LMFA01050080	HMDB0039540
LMFA08040008	HMDB0013649
LMFA03060073	HMDB0004699
LMFA01060172	HMDB0006454
LMFA03000006	HMDB10212
LMFA01170063	HMDB0002092
LMFA01170089	HMDB0000413
LMFA01050399	HMDB0002011
LMFA01030808	HMDB02186
LMFA12000012	HMDB0003407
LMFA12000145	HMDB0035926
LMFA05000136	HMDB0030957
LMFA08020085	HMDB0002227
LMFA08020103	HMDB0062338
LMFA07010922	HMDB0032046
LMFA02000129	HMDB0112183
LMFA12000049	HMDB0000753
LMFA11000352	HMDB0031069
LMFA07010512	HMDB0034140
LMFA07040030	HMDB0038311
LMFA07040021	HMDB0031531
LMFA05000608	HMDB0034845
LMFA05000609	HMDB0037304
LMFA06000257	HMDB0032432
LMFA05000570	HMDB0041499
LMFA08020180	HMDB0030275
